num:ID,nid,name,:LABEL,Count
CPM1,DA-HUANG,DA-HUANG,Chinese Patent Medicine,1
CPM2,SHANG-WAN,SHANG-WAN,Chinese Patent Medicine,1
CPM3,TIE,TIE,Chinese Patent Medicine,3
CPM4,XIANG-FU,XIANG-FU,Chinese Patent Medicine,1
CPM5,DENGZHANHUAINJECTION,DENGZHANHUAINJECTION,Chinese Patent Medicine,3
CPM6,(DZSM)CAPSULE,(DZSM)CAPSULE,Chinese Patent Medicine,1
CPM7,DENGZHANXIXININJECTION,DENGZHANXIXININJECTION,Chinese Patent Medicine,5
CPM8,(GADOL)INJECTION,(GADOL)INJECTION,Chinese Patent Medicine,1
CPM9,(GMT)TABLET,(GMT)TABLET,Chinese Patent Medicine,1
CPM10,(HCD)CAPSULE,(HCD)CAPSULE,Chinese Patent Medicine,1
CPM11,KUDIEZIINJECTION,KUDIEZIINJECTION,Chinese Patent Medicine,10
CPM12,(LPS)INJECTION,(LPS)INJECTION,Chinese Patent Medicine,2
CPM13,(PNS)INJECTION,(PNS)INJECTION,Chinese Patent Medicine,1
CPM14,(QKL)INJECTION,(QKL)INJECTION,Chinese Patent Medicine,2
CPM15,(SLT)CAPSULE,(SLT)CAPSULE,Chinese Patent Medicine,1
CPM16,(SM)INJECTION,(SM)INJECTION,Chinese Patent Medicine,1
CPM17,(STZ)INJECTION,(STZ)INJECTION,Chinese Patent Medicine,1
CPM18,(TLJN)INJECTION,(TLJN)INJECTION,Chinese Patent Medicine,1
CPM19,(TNF)-ALPHAINJECTION,(TNF)-ALPHAINJECTION,Chinese Patent Medicine,1
CPM20,(USP)INJECTION,(USP)INJECTION,Chinese Patent Medicine,1
CPM21,"(WKY),INJECTION","(WKY),INJECTION",Chinese Patent Medicine,1
CPM22,(XBJ)INJECTION,(XBJ)INJECTION,Chinese Patent Medicine,1
CPM23,(YCW)CAPSULE,(YCW)CAPSULE,Chinese Patent Medicine,1
CPM24,YIQIFUMAIPOWDER,YIQIFUMAIPOWDER,Chinese Patent Medicine,3
CPM25,ZHUYUTONGMAICAPSULE,ZHUYUTONGMAICAPSULE,Chinese Patent Medicine,1
CPM26,FANGJI DIHUANG DECOCTION,FANGJI DIHUANG DECOCTION,Chinese Patent Medicine,1
CPM27,[HUANGLIAN JIEDU DECOCTION,[HUANGLIAN JIEDU DECOCTION,Chinese Patent Medicine,1
CPM28,A. GRANDIFOLIA DECOCTION,A. GRANDIFOLIA DECOCTION,Chinese Patent Medicine,1
CPM29,AND NDS DECOCTION,AND NDS DECOCTION,Chinese Patent Medicine,1
CPM30,ANGELICAINJECTION,ANGELICAINJECTION,Chinese Patent Medicine,1
CPM31,AN-GONG-NIU-HUANG-WAN,AN-GONG-NIU-HUANG-WAN,Chinese Patent Medicine,3
CPM32,AN-TI-SAN,AN-TI-SAN,Chinese Patent Medicine,1
CPM33,BAIGECAPSULE,BAIGECAPSULE,Chinese Patent Medicine,2
CPM34,BAILEMIANCAPSULE,BAILEMIANCAPSULE,Chinese Patent Medicine,1
CPM35,BAIMAIPOWDER,BAIMAIPOWDER,Chinese Patent Medicine,1
CPM36,BAN-XIA-BAI-ZHU-TIAN-MA-TANG,BAN-XIA-BAI-ZHU-TIAN-MA-TANG,Chinese Patent Medicine,2
CPM37,BAN-XIA-XIE-XIN-TANG,BAN-XIA-XIE-XIN-TANG,Chinese Patent Medicine,1
CPM38,BANXIAXIEXINTANG DECOCTION,BANXIAXIEXINTANG DECOCTION,Chinese Patent Medicine,*
CPM39,BATIMASTATINJECTION,BATIMASTATINJECTION,Chinese Patent Medicine,1
CPM40,BEETLEPOWDER,BEETLEPOWDER,Chinese Patent Medicine,1
CPM41,BEVACIZUMABINJECTION,BEVACIZUMABINJECTION,Chinese Patent Medicine,1
CPM42,BICARBONATEINJECTION,BICARBONATEINJECTION,Chinese Patent Medicine,1
CPM43,BILATERALINJECTION,BILATERALINJECTION,Chinese Patent Medicine,1
CPM44,BLOOD-ACTIVATING DECOCTION,BLOOD-ACTIVATING DECOCTION,Chinese Patent Medicine,1
CPM45,BREVISCAPINEINJECTION,BREVISCAPINEINJECTION,Chinese Patent Medicine,2
CPM46,BREVISCAPUSINJECTION,BREVISCAPUSINJECTION,Chinese Patent Medicine,1
CPM47,BREVISCAPUS)INJECTION,BREVISCAPUS)INJECTION,Chinese Patent Medicine,1
CPM48,BU-YANG-HUAN-WU-TANG,BU-YANG-HUAN-WU-TANG,Chinese Patent Medicine,9
CPM49,BUYANGHUANWU DECOCTION,BUYANGHUANWU DECOCTION,Chinese Patent Medicine,36
CPM50,C. ARTICULATUS DECOCTION,C. ARTICULATUS DECOCTION,Chinese Patent Medicine,1
CPM51,CAPSAICININJECTION,CAPSAICININJECTION,Chinese Patent Medicine,1
CPM52,CAROTIDINJECTION,CAROTIDINJECTION,Chinese Patent Medicine,1
CPM53,CATECHOLAMINEINJECTION,CATECHOLAMINEINJECTION,Chinese Patent Medicine,2
CPM54,CHAI-HU-SHU-GAN-SAN,CHAI-HU-SHU-GAN-SAN,Chinese Patent Medicine,1
CPM55,CHAI-HU-JIA-LONG-GU-MU-LI-TANG,CHAI-HU-JIA-LONG-GU-MU-LI-TANG,Chinese Patent Medicine,4
CPM56,CHENG-QI-TANG,CHENG-QI-TANG,Chinese Patent Medicine,2
CPM57,CHINESE HERBAL DECOCTION,CHINESE HERBAL DECOCTION,Chinese Patent Medicine,1
CPM58,CHLORELLAPOWDER,CHLORELLAPOWDER,Chinese Patent Medicine,1
CPM59,CHLORIDEINJECTION,CHLORIDEINJECTION,Chinese Patent Medicine,1
CPM60,CHOTO-SAN,CHOTO-SAN,Chinese Patent Medicine,6
CPM61,CHUANXIONGCAPSULE,CHUANXIONGCAPSULE,Chinese Patent Medicine,2
CPM62,CHUANXIONG RHIZOMA DECOCTION,CHUANXIONG RHIZOMA DECOCTION,Chinese Patent Medicine,1
CPM63,CHUANXIONGQININJECTION,CHUANXIONGQININJECTION,Chinese Patent Medicine,2
CPM64,CHUNGPYESAGAN-TANG,CHUNGPYESAGAN-TANG,Chinese Patent Medicine,2
CPM65,CHUNGSIMYEUNJA-TANG,CHUNGSIMYEUNJA-TANG,Chinese Patent Medicine,*
CPM66,CY-TANG,CY-TANG,Chinese Patent Medicine,1
CPM67,DA-BU-TANG,DA-BU-TANG,Chinese Patent Medicine,1
CPM68,DAN-DENG-TONG-NAOCAPSULE,DAN-DENG-TONG-NAOCAPSULE,Chinese Patent Medicine,1
CPM69,DANGGUI BUXUE DECOCTION,DANGGUI BUXUE DECOCTION,Chinese Patent Medicine,1
CPM70,DANG-GUI-SHAO-YAO-SAN,DANG-GUI-SHAO-YAO-SAN,Chinese Patent Medicine,1
CPM71,DANHONGINJECTION,DANHONGINJECTION,Chinese Patent Medicine,20
CPM72,DAN-QI-PIAN(ETCM),DAN-QI-PIAN,Chinese Patent Medicine,5
CPM73,DANQIPIANTANCAPSULE,DANQIPIANTANCAPSULE,Chinese Patent Medicine,1
CPM74,DAN-SHEN-ZHU-SHE-YE(ETCM),DAN-SHEN-ZHU-SHE-YE,Chinese Patent Medicine,1
CPM75,DEFATTED DECOCTION,DEFATTED DECOCTION,Chinese Patent Medicine,1
CPM76,DENGHUANGINJECTION,DENGHUANGINJECTION,Chinese Patent Medicine,1
CPM77,DENGZANXIXININJECTION,DENGZANXIXININJECTION,Chinese Patent Medicine,1
CPM78,DENG-ZHANXIXININJECTION,DENG-ZHANXIXININJECTION,Chinese Patent Medicine,1
CPM79,DI-HUANG-YIN,DI-HUANG-YIN,Chinese Patent Medicine,2
