AI-TANG	MESH:D011470	0 @@PMID: 26137029 #En1: Ai Tang #En2: benign prostatic hyperplasia *KeyWords: null/count: 1
BAI-YAO	MESH:D006402	0 @@PMID: 23936913 #En1: Baiyao #En2: hematological diseases *KeyWords: null/1 @@PMID: 23936913 #En1: Baiyao #En2: hematological diseases *KeyWords: null/count: 2
BAI-YAO	MESH:D020141	0 @@PMID: 24753739 #En1: Baiyao #En2: haemostasis *KeyWords: null/1 @@PMID: 24753739 #En1: Baiyao #En2: haemostasis *KeyWords: null/count: 2
BAI-YAO	MESH:D006483	0 @@PMID: 24753739 #En1: Baiyao #En2: rhexis haemorrhage *KeyWords: used/1 @@PMID: 24753739 #En1: Baiyao #En2: rhexis haemorrhage *KeyWords: used/count: 2
BAI-YAO	MESH:D003092	0 @@PMID: 22140602 #En1: BaiYao #En2: colitis *KeyWords: used/count: 1
BAI-YAO	MESH:D009456	0 @@PMID: 19087606 #En1: Baiyao #En2: Le Fort I osteotomy and bilateral sagittal split ramus osteotomy *KeyWords: was/1 @@PMID: 19087606 #En1: Baiyao #En2: Le Fort I osteotomy *KeyWords: lower/count: 2
CHI-TANG	MESH:D001008	0 @@PMID: 25793006 #En1: chi tang #En2: anxiety *KeyWords: null/1 @@PMID: 25793006 #En1: Chi Tang #En2: anxiety *KeyWords: improving/2 @@PMID: 25793006 #En1: Chi Tang #En2: Anxiety *KeyWords: improving/count: 3
CHI-WAN	MESH:D010510	0 @@PMID: 1498532 #En1: chi wan #En2: periodontal disease *KeyWords: null/count: 1
DA-HUANG	MESH:D004238	0 @@PMID: 24078823 #En1: Da Huang #En2: acute diverticulitis *KeyWords: used/1 @@PMID: 24078823 #En1: Da Huang #En2: acute diverticulitis *KeyWords: used/count: 2
DA-HUANG	MESH:C538231	0 @@PMID: 19397973 #En1: Da Huang #En2: lung adenocarcinoma *KeyWords: null/count: 1
DA-HUANG	MESH:D001943	0 @@PMID: 19397973 #En1: Da Huang #En2: breast cancer *KeyWords: null/count: 1
DA-HUANG	MESH:D018459	0 @@PMID: 31370719 #En1: Da Huang #En2: Polygoni Cuspidati Rhizoma Et Radix *KeyWords: null/count: 1
DA-HUANG	MESH:D008607	0 @@PMID: 10437188 #En1: Dahuang #En2: mentality *KeyWords: improve/count: 1
DA-HUANG	MESH:D014594	0 @@PMID: 16541861 #En1: Dahuang #En2: uterine neoplasms *KeyWords: null/count: 1
DA-HUANG	MESH:D002543	0 @@PMID: 16841673 #En1: dahuang #En2: ischemic cerebral hemorrhagic *KeyWords: null/1 @@PMID: 16841673 #En1: Dahuang #En2: ischemic cerebral hemorrhage *KeyWords: null/count: 2
DA-HUANG	MESH:D050197	0 @@PMID: 17285991 #En1: Dahuang #En2: atherosclerosis *KeyWords: null/count: 1
DA-HUANG	MESH:C538457	0 @@PMID: 18471418 #En1: Dahuang #En2: glomerulosclerosis *KeyWords: null/1 @@PMID: 18471418 #En1: Dahuang #En2: glomerulosclerosis *KeyWords: null/count: 2
DA-HUANG	MESH:D002908	0 @@PMID: 18471418 #En1: Dahuang #En2: chronic renal disease *KeyWords: null/1 @@PMID: 18471418 #En1: Dahuang #En2: chronic renal disease *KeyWords: null/count: 2
DA-HUANG	MESH:D002341	0 @@PMID: 19779268 #En1: Dahuang #En2: arterial thrombosis *KeyWords: null/1 @@PMID: 19779268 #En1: Dahuang #En2: arterial thrombosis *KeyWords: null/count: 2
DA-HUANG	MESH:D020762	0 @@PMID: 19779268 #En1: Dahuang #En2: arterial thrombotic *KeyWords: null/count: 1
DA-HUANG	MESH:D010195	0 @@PMID: 21190597 #En1: Dahuang #En2: acute pancreatitis *KeyWords: null/1 @@PMID: 21190597 #En1: Dahuang #En2: acute pancreatitis *KeyWords: null/count: 2
DA-HUANG	MESH:D013160	0 @@PMID: 23257142 #En1: Dahuang #En2: spleen deficiency syndrome *KeyWords: null/1 @@PMID: 23257142 #En1: Dahuang #En2: spleen deficiency syndrome *KeyWords: null/2 @@PMID: 19216863 #En1: Dahuang #En2: spleen-deficiency diseases *KeyWords: null/3 @@PMID: 22471142 #En1: Dahuang #En2: spleen-deficiency *KeyWords: null/4 @@PMID: 12632517 #En1: Dahuang #En2: spleen deficiency *KeyWords: null/count: 5
DA-HUANG	MESH:D002137	0 @@PMID: 23583735 #En1: Dahuang #En2: Bovis Calculus Artificialis *KeyWords: null/count: 1
DA-HUANG	MESH:C536735	0 @@PMID: 23583735 #En1: Dahuang #En2: gut flora disorder *KeyWords: regulated/count: 1
DA-HUANG	MESH:D007674	0 @@PMID: 25193680 #En1: Dahuang #En2: chronic kidney disease *KeyWords: null/1 @@PMID: 28421124 #En1: Dahuang #En2: nephropathy *KeyWords: null/2 @@PMID: 19216863 #En1: Dahuang #En2: kidney-deficiency diseases *KeyWords: null/count: 3
DA-HUANG	MESH:D004823	0 @@PMID: 30161311 #En1: Dahuang #En2: epididymal *KeyWords: null/1 @@PMID: 30161311 #En1: Dahuang #En2: epididymal sperm maturation *KeyWords: improve/2 @@PMID: 30161311 #En1: Dahuang #En2: epididymal *KeyWords: null/3 @@PMID: 30161311 #En1: Dahuang #En2: epididymal sperm maturation *KeyWords: improve/count: 4
DA-HUANG	MESH:D004487	0 @@PMID: 30161311 #En1: Dahuang #En2: interstitial edema *KeyWords: contribute/1 @@PMID: 30161311 #En1: Dahuang #En2: interstitial edema *KeyWords: contribute/count: 2
DA-HUANG	OMIM:179850	0 @@PMID: 30702555 #En1: Dahuang #En2: DDD *KeyWords: null/1 @@PMID: 30702555 #En1: Dahuang #En2: DDD *KeyWords: assessed/count: 2
DA-HUANG	MESH:D005767	0 @@PMID: 30702555 #En1: Dahuang #En2: gastrointestinal diseases *KeyWords: alleviate/1 @@PMID: 31929821 #En1: Dahuang #En2: artificial gastrointestinal *KeyWords: reduce/count: 2
DA-HUANG	MESH:D008103	0 @@PMID: 31502329 #En1: Dahuang #En2: liver fibrosis *KeyWords: attenuate/1 @@PMID: 31891799 #En1: Dahuang #En2: liver fibrosis *KeyWords: have/2 @@PMID: 31891799 #En1: Dahuang #En2: liver fibrosis *KeyWords: have/3 @@PMID: 32186058 #En1: Dahuang #En2: hepatic fibrosis *KeyWords: null/count: 4
