HAN-SAN-QI	Gene_ID:1652	@<<GADExtractor>> PMID: 16114092 #En1: Radix Notoginseng #En2: DDT *KeyWords: null /***1
CUN-DONG	Gene_ID:55213	@<<GADExtractor>> PMID: 27659001 #En1: Radix ophiopogonis #En2: GLP *KeyWords: null /***1
CUN-DONG	Gene_ID:4864	@<<GADExtractor>> PMID: 30936832 #En1: Radix Ophiopogonis #En2: NPC *KeyWords: treat /***1
CUN-DONG	Gene_ID:8737	@<<GADExtractor>> PMID: 29760660 #En1: Radix Ophiopogonis #En2: RIPK1 *KeyWords: Induces /***1
CUN-DONG	Gene_ID:80218	@<<GADExtractor>> PMID: 12197603 #En1: Radix Ophiopogonis #En2: San *KeyWords: null /@<<GADExtractor>> PMID: 11527078 #En1: Radix Ophiopogonis #En2: san *KeyWords: null /***2
CUN-DONG	Gene_ID:6611	@<<GADExtractor>> PMID: 12197603 #En1: Radix Ophiopogonis #En2: SMS *KeyWords: null /@<<GADExtractor>> PMID: 12197603 #En1: Radix Ophiopogonis #En2: SMS *KeyWords: related /@<<GADExtractor>> PMID: 11527078 #En1: Radix Ophiopogonis #En2: SMS *KeyWords: null /***3
HANG-SHAO	Gene_ID:173	@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25784949 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: absorbed /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18424022 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28868875 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18453201 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18453201 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 18453201 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 20707075 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 30028337 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 31461974 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 32140855 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 32140855 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 32140855 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28085537 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28085537 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21077251 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21077251 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21077251 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 26421050 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25042570 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25042570 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23831700 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23867078 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25422552 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 27626411 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23023341 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25011060 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25011060 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 15790107 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 15790107 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 29201187 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 29201187 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25113615 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25113615 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25113615 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25113615 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 25113615 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 26747055 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 26747055 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 31790818 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 27633311 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: roots /@<<GADExtractor>> PMID: 17087079 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 17087079 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 17087079 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 17087079 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: controlled /@<<GADExtractor>> PMID: 29200734 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 19747436 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 19747436 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24348792 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24348792 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24348792 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24348792 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24348792 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24348792 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24348792 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 26412429 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 17518052 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 22366432 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 2364464 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24731420 #En1: Radix paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24731420 #En1: Radix paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24731420 #En1: Radix paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24731420 #En1: Radix paeoniae Alba #En2: Alba *KeyWords: described /@<<GADExtractor>> PMID: 24731420 #En1: Radix paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24731420 #En1: Radix paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24731420 #En1: Radix paeoniae Alba #En2: Alba *KeyWords: effective /@<<GADExtractor>> PMID: 19460686 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 19460686 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 21710730 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23967634 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28730733 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 28730733 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23060699 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 23060699 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: Alba *KeyWords: null /@<<GADExtractor>> PMID: 30144752 #En1: white peony root #En2: Alba *KeyWords: null /***113
HANG-SHAO	Gene_ID:7263	@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: TST *KeyWords: carried /@<<GADExtractor>> PMID: 27619541 #En1: Radix Paeoniae Alba #En2: TST *KeyWords: decreased /***2
HANG-SHAO	Gene_ID:6117	@<<GADExtractor>> PMID: 25784949 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 30672382 #En1: Radix paeoniae alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 28085537 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 26421050 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 25042570 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 25011060 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 17518052 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 28730733 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /@<<GADExtractor>> PMID: 24927419 #En1: Radix Paeoniae Alba #En2: RPA *KeyWords: null /***10
HANG-SHAO	Gene_ID:7047	@<<GADExtractor>> PMID: 30338648 #En1: Radix Paeoniae Alba #En2: TGP *KeyWords: null /@<<GADExtractor>> PMID: 23388327 #En1: radix paeoniae alba #En2: TGP *KeyWords: null /***2
HANG-SHAO	Gene_ID:5594	@<<GADExtractor>> PMID: 29201187 #En1: Radix Paeoniae Alba #En2: ERK *KeyWords: better /***1
