HAN-SAN-QI	GeneID:1652	0 @@PMID: 16114092 #En1: Radix Notoginseng #En2: DDT *KeyWords: null	 count:1
CUN-DONG	4054	0 @@PMID: 27323610 #En1: Radix Ophiopogonis #En2: ginseng *KeyWords: null/1 @@PMID: 18688886 #En1: Radix Ophiopogonis #En2: ginseng *KeyWords: null/2 @@PMID: 21205111 #En1: Radix Ophiopogonis #En2: Ginseng *KeyWords: null/3 @@PMID: 18853475 #En1: Radix ophiopogonis #En2: ginseng *KeyWords: null/4 @@PMID: 29300489 #En1: Radix Ophiopogonis #En2: ginseng *KeyWords: null/5 @@PMID: 12197603 #En1: Radix Ophiopogonis #En2: Ginseng *KeyWords: null/6 @@PMID: 11527078 #En1: Radix Ophiopogonis #En2: Ginseng *KeyWords: null/7 @@PMID: 31659910 #En1: Radix Ophiopogonis #En2: Ginseng *KeyWords: null	 count:8
CUN-DONG	GeneID:170685	0 @@PMID: 26783639 #En1: Radix ophiopogonis #En2: APSII *KeyWords: named	 count:1
CUN-DONG	GeneID:2641	0 @@PMID: 26783639 #En1: Radix ophiopogonis #En2: GLPII *KeyWords: named	 count:1
CUN-DONG	GeneID:79813	0 @@PMID: 27659001 #En1: Radix ophiopogonis #En2: GLP *KeyWords: null	 count:1
CUN-DONG	GeneID:55213	0 @@PMID: 27659001 #En1: Radix ophiopogonis #En2: GLP *KeyWords: null	 count:1
CUN-DONG	GeneID:5016	0 @@PMID: 27659001 #En1: Radix ophiopogonis #En2: OGP *KeyWords: null	 count:1
CUN-DONG	10090	0 @@PMID: 21784151 #En1: Radix Ophiopogonis #En2: mice *KeyWords: null	 count:1
CUN-DONG	GeneID:5956	0 @@PMID: 21784151 #En1: Radix Ophiopogonis #En2: ROP *KeyWords: null/1 @@PMID: 29334805 #En1: radix ophiopogonis #En2: ROP *KeyWords: null/2 @@PMID: 25236608 #En1: Radix Ophiopogonis #En2: ROP *KeyWords: null/3 @@PMID: 25489243 #En1: Radix Ophiopogonis #En2: ROP *KeyWords: null/4 @@PMID: 22131832 #En1: Radix ophiopogonis #En2: ROP *KeyWords: null/5 @@PMID: 23727058 #En1: Radix Ophiopogonis #En2: ROP *KeyWords: null/6 @@PMID: 22242461 #En1: Radix Ophiopogonis #En2: ROP *KeyWords: null/7 @@PMID: 20020416 #En1: Radix Ophiopogonis #En2: ROP *KeyWords: null/8 @@PMID: 26425081 #En1: Radix Ophiopogonis #En2: ROP *KeyWords: null	 count:9
CUN-DONG	GeneID:4843	0 @@PMID: 30691730 #En1: Radix Ophiopogonis #En2: nitric oxide synthase inhibitors *KeyWords: null	 count:1
CUN-DONG	GeneID:4864	0 @@PMID: 30936832 #En1: Radix Ophiopogonis #En2: NPC *KeyWords: treat	 count:1
CUN-DONG	10116	0 @@PMID: 25609953 #En1: Radix Ophiopogonis #En2: rats *KeyWords: null/1 @@PMID: 22242461 #En1: Radix Ophiopogonis #En2: rats *KeyWords: investigated/2 @@PMID: 20020416 #En1: Radix Ophiopogonis #En2: rats *KeyWords: null/3 @@PMID: 12197603 #En1: Radix Ophiopogonis #En2: rat *KeyWords: null/4 @@PMID: 26425081 #En1: Radix Ophiopogonis #En2: rat *KeyWords: ischemic/reperfused	 count:5
CUN-DONG	GeneID:64755	0 @@PMID: 25443374 #En1: Radix Ophiopogonis #En2: RUS *KeyWords: null	 count:1
CUN-DONG	GeneID:8737	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: RIPK1 *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836100506742842	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836841842840	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836841	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:841843	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836842	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836841834	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836842841	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:841	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	GeneID:836595842	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Caspase *KeyWords: Induces	 count:1
CUN-DONG	9606	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: Human *KeyWords: Induces/1 @@PMID: 17078443 #En1: Radix Ophiopogonis #En2: patients *KeyWords: ([Chinese/2 @@PMID: 11527078 #En1: Radix Ophiopogonis #En2: patients *KeyWords: used	 count:3
CUN-DONG	GeneID:2316	0 @@PMID: 29760660 #En1: Radix Ophiopogonis #En2: OPD *KeyWords: null/1 @@PMID: 26838069 #En1: Radix ophiopogonis #En2: OPD *KeyWords: null	 count:2
CUN-DONG	GeneID:80218	0 @@PMID: 12197603 #En1: Radix Ophiopogonis #En2: San *KeyWords: null/1 @@PMID: 11527078 #En1: Radix Ophiopogonis #En2: san *KeyWords: null	 count:2
CUN-DONG	GeneID:6611	0 @@PMID: 12197603 #En1: Radix Ophiopogonis #En2: SMS *KeyWords: null/1 @@PMID: 12197603 #En1: Radix Ophiopogonis #En2: SMS *KeyWords: related/2 @@PMID: 11527078 #En1: Radix Ophiopogonis #En2: SMS *KeyWords: null	 count:3
CUN-DONG	GeneID:7080	0 @@PMID: 20707059 #En1: Radix Ophiopogonis #En2: BHC *KeyWords: lower/1 @@PMID: 20707059 #En1: Radix Ophiopogonis #En2: BHC *KeyWords: null	 count:2
