Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
CPM101	Zengsunsiwu	Herb323	siwu	29599893:null
CPM4	Baifuzi	Herb21	Baifuzi	24556145:null
CPM4	Baifuzi	Herb20	Baifu	24556145:null
CPM4	Baifuzi	Herb21	Baifuzi	21364615:null
CPM4	Baifuzi	Herb20	Baifu	21364615:null
CPM4	Baifuzi	Herb101	ethanol	21364615:null
CPM4	Baifuzi	Herb101	ethanol	21364615:purified
CPM4	Baifuzi	Herb21	Baifuzi	21364615:suppressed
CPM4	Baifuzi	Herb20	Baifu	21364615:suppressed
CPM4	baifuzi	Herb21	baifuzi	17408986:null
CPM4	baifuzi	Herb20	baifu	17408986:null
CPM4	Baifuzi	Herb21	Baifuzi	17408986:null
CPM4	Baifuzi	Herb20	Baifu	17408986:null
CPM4	Baifuzi	Herb21	Baifuzi	24946143:null
CPM4	Baifuzi	Herb21	Baifuzi	24946143:results
CPM4	Baifuzi	Herb20	Baifu	24946143:null
CPM4	Baifuzi	Herb20	Baifu	24946143:results
CPM86	Xiangfu	Herb78	Danggui	28868875:null
CPM86	Xiangfu	Herb26	Baishao	28868875:null
CPM86	Xiangfu	Herb304	Shengdihuang	28868875:null
CPM86	Xiangfu	Herb87	dihuang	28868875:null
CPM86	Xiangfu	Herb61	chuanxiong	28868875:null
CPM86	Xiangfu	Herb61	Chuanxiong	28868875:null
CPM86	Xiangfu	Herb340	Taoren	28868875:null
CPM86	Xiangfu	Herb370	Xiangfu	28868875:null
CPM86	Xiangfu	Herb303	Shengdi	28868875:null
CPM86	Xiangfu	Herb300	shao	28868875:null
CPM86	Xiangfu	Herb12	Angelica	28868875:null
CPM86	Xiangfu	Herb274	Radix Rehmanniae	28868875:null
CPM51	Jinyinhua	Herb413	Zhizi	21692282:jasminoides
CPM51	Jinyinhua	Herb198	Jinyinhua	21692282:null
CPM51	Jinyinhua	Herb138	gualou	21692282:jasminoides
CPM51	Jinyinhua	Herb80	Dannanxing	21692282:jasminoides
CPM51	Jinyinhua	Herb395	yinhua	21692282:null
CPM51	Jinyinhua	Herb182	Huangqin	21692282:jasminoides
CPM51	Jinyinhua	Herb180	Huangqi	21692282:jasminoides
CPM51	Jinyinhua	Herb240	nanxing	21692282:jasminoides
CPM51	Jinyinhua	Herb273	Quangualou	21692282:jasminoides
CPM51	Jinyinhua	Herb272	Quangu	21692282:jasminoides
CPM51	Jinyinhua	Herb111	Fructus Trichosanthis	21692282:jasminoides
CPM51	Jinyinhua	Herb363	Weeping Forsythia	21692282:jasminoides
CPM82	Taorencheng	Herb340	Taoren	31682375:null
CPM76	Shiyiwei	Herb305	Shengma	22965699:thrice
CPM76	Shiyiwei	Herb282	rice	22965699:given
CPM71	Shangwan	Herb316	Shui	21058487:null
CPM71	Shangwan	Herb317	Shuifen	21058487:null
CPM71	Shangwan	Herb184	Huangshu	21058487:null
CPM7	BaiYao	Herb27	BaiYao	22797968:null
CPM88	Xie-Xin-Tang	Herb147	Hai-Piao-Xiao	26549268:Drain
CPM88	Xie-Xin-Tang	Herb31	Ban-Xia	26549268:null
CPM88	Xie-Xin-Tang	Herb146	Hai-Piao	26549268:Drain
CPM88	Xie-Xin-Tang	Herb372	Xia-Xie	26549268:null
CPM88	Xie-Xin-Tang	Herb60	Chuan-Lian-Zi	26549268:null
CPM88	Xie-Xin-Tang	Herb33	Bei-Mu	26549268:null
CPM88	Xie-Xin-Tang	Herb390	Yan-Hu-Suo	26549268:null
CPM88	Xie-Xin-Tang	Herb147	Hai-Piao-Xiao	26549268:null
CPM88	Xie-Xin-Tang	Herb211	Lian-Zi	26549268:null
CPM88	Xie-Xin-Tang	Herb59	Chuan-Lian	26549268:null
CPM88	Xie-Xin-Tang	Herb388	Yan-Hu	26549268:null
CPM88	Xie-Xin-Tang	Herb146	Hai-Piao	26549268:null
CPM88	Xie-Xin-Tang	Herb190	Hu-Suo	26549268:null
CPM88	Xie-Xin-Tang	Herb389	Yan-Hu-Su	26549268:null
