Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
CPM4	Baifuzi	Chemical2828	Baifuzi-cerebrosides	24556145:null
CPM4	Baifuzi	Chemical3778	cerebrosides	24556145:null
CPM4	Baifuzi	Chemical14239	Typhonium	21364615:null
CPM4	Baifuzi	Chemical5943	ethanol	21364615:null
CPM4	Baifuzi	Chemical3308	Ca	21364615:null
CPM4	Baifuzi	Chemical7904	K	21364615:null
CPM4	Baifuzi	Chemical2826	Baifuzi cerebroside	21364615:null
CPM4	Baifuzi	Chemical2827	Baifuzi-CB	21364615:null
CPM4	Baifuzi	Chemical3602	CB	21364615:null
CPM4	Baifuzi	Chemical5944	ethanol extract	21364615:purified
CPM4	Baifuzi	Chemical3308	Ca	21364615:purified
CPM4	Baifuzi	Chemical2827	Baifuzi-CB	21364615:suppressed
CPM4	Baifuzi	Chemical3308	Ca	21364615:activated
CPM4	Baifuzi	Chemical2827	Baifuzi-CB	21364615:suggests
CPM4	Baifuzi	Chemical3602	CB	21364615:suggests
CPM4	baifuzi	Chemical3778	Cerebrosides	17408986:null
CPM4	baifuzi	Chemical3384	calcium	17408986:null
CPM4	baifuzi	Chemical3895	chloride	17408986:null
CPM4	Baifuzi	Chemical3778	Cerebrosides	17408986:null
CPM4	Baifuzi	Chemical3602	CB	17408986:null
CPM4	Baifuzi	Chemical7283	herb Typhonium	17408986:null
CPM4	Baifuzi	Chemical3778	cerebrosides	24946143:null
CPM4	Baifuzi	Chemical3778	cerebrosides	24946143:necessary
CPM82	Taorencheng	Chemical2623	aspirin	31682375:null
CPM48	Jiaonang	Chemical5450	DPJ	18417963:null
CPM88	Xie-Xin-Tang	Chemical2833	Ban-Xia-Xie-Xin-Tang	26549268:null
CPM32	Di-Huang-Wan	Chemical8381	Liu-Wei-Di	26817897:Liu-Wei-Di-Huang-Wan
CPM105	Zhu-Yu-Tang	Chemical14699	Xue-Fu-Zhu	28213110:null
CPM105	Zhu-Yu-Tang	Chemical14753	Zhi-Gan-Cao	26322893:null
CPM105	Zhu-Yu-Tang	Chemical14700	Xue-Fu-Zhu-Yu	26322893:null
CPM37	Gan-Cao-Tang	Chemical6508	Fu-Zi	31331548:null
CPM37	Gan-Cao-Tang	Chemical6709	Ge-Gen	31331548:null
CPM37	Gan-Cao-Tang	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
CPM37	Gan-Cao-Tang	Chemical14753	Zhi-Gan-Cao	26322893:null
CPM37	Gan-Cao-Tang	Chemical14700	Xue-Fu-Zhu-Yu	26322893:null
CPM58	Mai-Men-Dong-Tang	Chemical8693	Mai-Men	30024544:null
CPM26	Da-Bu-Tang	Chemical12742	Shi-Quan-Da	29982213:null
CPM34	Fu-Ling-Wan	Chemical7138	Gui-Zhi-Fu-Ling-Wan	13678228:null
CPM50	Jie-Du-Tang	Chemical6667	gardenia acid	24707870:null
CPM50	Jie-Du-Tang	Chemical6741	geniposide	24707870:null
CPM50	Jie-Du-Tang	Chemical2983	berberine	23628154:is
CPM50	Jie-Du-Tang	Chemical6668	gardenoside	23628154:is
CPM42	Huang-Lian-Jie-Du-Tang	Chemical6667	gardenia acid	24707870:null
CPM42	Huang-Lian-Jie-Du-Tang	Chemical6741	geniposide	24707870:null
CPM42	Huang-Lian-Jie-Du-Tang	Chemical2983	berberine	23628154:is
CPM42	Huang-Lian-Jie-Du-Tang	Chemical6668	gardenoside	23628154:is
CPM49	Jia-Wei-Xiao-Yao-San	Chemical6508	Fu-Zi	31331548:null
CPM49	Jia-Wei-Xiao-Yao-San	Chemical6709	Ge-Gen	31331548:null
CPM49	Jia-Wei-Xiao-Yao-San	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
CPM104	Zhi-Mu-Tang	Chemical6508	Fu-Zi	31331548:null
CPM104	Zhi-Mu-Tang	Chemical6709	Ge-Gen	31331548:null
CPM104	Zhi-Mu-Tang	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
CPM87	Xiao-Yao-San	Chemical6508	Fu-Zi	31331548:null
CPM87	Xiao-Yao-San	Chemical6709	Ge-Gen	31331548:null
CPM87	Xiao-Yao-San	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
CPM38	Ge-Gen-Tang	Chemical6508	Fu-Zi	31331548:null
CPM38	Ge-Gen-Tang	Chemical6709	Ge-Gen	31331548:null
CPM38	Ge-Gen-Tang	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
CPM9	Ban-Xia-Bai-Zhu-Tian-Ma-Tang	Chemical13501	TCM	26969404:null
CPM9	Ban-Xia-Bai-Zhu-Tian-Ma-Tang	Chemical2832	Ban-Xia-Bai-Zhu-Tian-Ma	26969404:null
CPM9	Ban-Xia-Bai-Zhu-Tian-Ma-Tang	Chemical8343	Ling-Gui-Zhu-Gan	26969404:null
CPM9	Ban-Xia-Bai-Zhu-Tian-Ma-Tang	Chemical2823	Bai Zhi	26969404:null
CPM72	Shao-Yao-Gan-Cao-Tang	Chemical6508	Fu-Zi	31331548:null
CPM72	Shao-Yao-Gan-Cao-Tang	Chemical6709	Ge-Gen	31331548:null
CPM72	Shao-Yao-Gan-Cao-Tang	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
CPM75	Shi-Quan-Da-Bu-Tang	Chemical12742	Shi-Quan-Da	29982213:null
CPM73	Sheng-Mai-San	Chemical14721	YiQiFuMai	26834461:null
CPM73	Sheng-Mai-San	Chemical14733	YQFM	26834461:null
CPM73	Sheng-Mai-San	Chemical14753	Zhi-Gan-Cao	26322893:null
CPM73	Sheng-Mai-San	Chemical14700	Xue-Fu-Zhu-Yu	26322893:null
CPM52	Ji-Sheng-Tang	Chemical14699	Xue-Fu-Zhu	28213110:null
CPM59	Mu-Li-Tang	Chemical7140	Gu-Mu-Li	30235703:null
CPM59	Mu-Li-Tang	Chemical7140	Gu-Mu-Li	31601868:null
CPM33	Du-Huo-Ji-Sheng-Tang	Chemical14699	Xue-Fu-Zhu	28213110:null
CPM100	Yu-Tang	Chemical14699	Xue-Fu-Zhu	28213110:null
CPM100	Yu-Tang	Chemical14753	Zhi-Gan-Cao	26322893:null
CPM100	Yu-Tang	Chemical14700	Xue-Fu-Zhu-Yu	26322893:null
CPM74	Sheng-Tang	Chemical14699	Xue-Fu-Zhu	28213110:null
CPM99	Yu-Quan-Wan	Chemical8381	Liu-Wei-Di	26817897:Liu-Wei-Di-Huang-Wan
