Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
CPM101	Zengsunsiwu	Symptom204	edema	29599893:null
CPM4	Baifuzi	Symptom630	stress	21364615:null
CPM4	Baifuzi	Symptom631	stroke	17408986:used
CPM53	Kanliji	Symptom277	heart failure	16800986:null
CPM4	Baifuzi	Symptom631	stroke	24946143:results
CPM4	Baifuzi	Symptom631	stroke	24946143:null
CPM4	Baifuzi	Symptom631	stroke	24946143:exert
CPM82	Taorencheng	Symptom631	stroke	31682375:null
CPM48	Jiaonang	Symptom631	stroke	19164787:null
CPM48	Jiaonang	Symptom631	stroke	19164787:compared
CPM48	Jiaonang	Symptom631	stroke	18417963:modify
CPM48	Jiaonang	Symptom631	stroke	18417963:showed
CPM71	Shangwan	Symptom177	disease	21058487:null
CPM7	BaiYao	Symptom134	colitis	22797968:null
CPM7	BaiYao	Symptom681	ulcerative colitis	22797968:null
CPM88	Xie-Xin-Tang	Symptom501	peptic ulcer	26549268:used
CPM58	Mai-Men-Dong-Tang	Symptom177	disease	30024544:used
CPM58	Mai-Men-Dong-Tang	Symptom144	cough	30024544:used
CPM26	Da-Bu-Tang	Symptom231	fatigue	29982213:null
CPM50	Jie-Du-Tang	Symptom631	stroke	24751364:treat
CPM50	Jie-Du-Tang	Symptom340	injury	12204769:reduce
CPM50	Jie-Du-Tang	Symptom340	injury	12204769:null
CPM42	Huang-Lian-Jie-Du-Tang	Symptom631	stroke	24751364:treat
CPM75	Shi-Quan-Da-Bu-Tang	Symptom231	fatigue	29982213:null
CPM59	Mu-Li-Tang	Symptom162	depression	30235703:null
CPM59	Mu-Li-Tang	Symptom631	stroke	30235703:null
CPM59	Mu-Li-Tang	Symptom162	depression	31601868:null
CPM59	Mu-Li-Tang	Symptom631	stroke	31601868:null
CPM97	You-Fang	Symptom340	injury	27396346:null
CPM97	You-Fang	Symptom340	injury	27396346:treat
CPM97	You-Fang	Symptom631	stroke	27396346:treat
CPM16	Chai-Hu-Jia-Long-Gu-Mu-Li-Tang	Symptom162	depression	30235703:null
