Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
CPM101	Zengsunsiwu	Disease4654	BBB	29599893:null
CPM101	Zengsunsiwu	Disease3818	attenuated edema	29599893:null
CPM4	Baifuzi	Disease13552	focal cerebral ischemia	21364615:exerts
CPM4	Baifuzi	Disease7249	cerebral ischemia	21364615:exerts
CPM4	Baifuzi	Disease5348	brain ischemia	21364615:activated
CPM4	Baifuzi	Disease5348	brain ischemia	21364615:treating
CPM4	Baifuzi	Disease25	stroke	17408986:used
CPM53	Kanliji	Disease15004	heart failure	16800986:null
CPM53	Kanliji	Disease8408	chronic heart failure	16800986:null
CPM4	Baifuzi	Disease20467	ischemic stroke	24946143:results
CPM4	Baifuzi	Disease25	stroke	24946143:results
CPM4	Baifuzi	Disease20467	ischemic stroke	24946143:null
CPM4	Baifuzi	Disease25	stroke	24946143:null
CPM4	Baifuzi	Disease20467	ischemic stroke	24946143:exert
CPM4	Baifuzi	Disease25	stroke	24946143:exert
CPM51	Jinyinhua	Disease13918	Gardenia jasminoides Ellis	21692282:jasminoides
CPM51	Jinyinhua	Disease29166	Rhizoma Arisaematis Cum Bile	21692282:jasminoides
CPM82	Taorencheng	Disease25	stroke	31682375:null
CPM82	Taorencheng	Disease23099	middle cerebral artery	31682375:occluding
CPM82	Taorencheng	Disease23099	middle cerebral artery	31682375:null
CPM76	Shiyiwei	Disease34254	yin-qi deficiency	22965699:thrice
CPM76	Shiyiwei	Disease34233	yang-qi deficiency	22965699:given
CPM48	Jiaonang	Disease25	stroke	19164787:null
CPM48	Jiaonang	Disease25	stroke	19164787:compared
CPM48	Jiaonang	Disease25	stroke	18417963:modify
CPM48	Jiaonang	Disease25	stroke	18417963:showed
CPM88	Xie-Xin-Tang	Disease27097	peptic ulcer disease	26549268:used
CPM88	Xie-Xin-Tang	Disease5620	Bulbus Fritillariae Thunbergii	26549268:null
CPM26	Da-Bu-Tang	Disease13341	fatigue	29982213:null
CPM34	Fu-Ling-Wan	Disease20772	KBG	13678228:null
CPM50	Jie-Du-Tang	Disease7249	cerebral ischemia	24751364:null
CPM50	Jie-Du-Tang	Disease25	stroke	24751364:treat
CPM50	Jie-Du-Tang	Disease7249	cerebral ischemia	24707870:null
CPM50	Jie-Du-Tang	Disease23099	Middle cerebral artery	23628154:is
CPM50	Jie-Du-Tang	Disease7249	cerebral ischemia	22387241:treat
CPM50	Jie-Du-Tang	Disease20073	ischemia-reperfusion brain injury	12204769:reduce
CPM50	Jie-Du-Tang	Disease19848	ischemia	12204769:null
CPM50	Jie-Du-Tang	Disease5326	brain injury	12204769:null
CPM42	Huang-Lian-Jie-Du-Tang	Disease7249	cerebral ischemia	24751364:null
CPM42	Huang-Lian-Jie-Du-Tang	Disease25	stroke	24751364:treat
CPM42	Huang-Lian-Jie-Du-Tang	Disease7249	cerebral ischemia	24707870:null
CPM42	Huang-Lian-Jie-Du-Tang	Disease23099	Middle cerebral artery	23628154:is
CPM42	Huang-Lian-Jie-Du-Tang	Disease7249	cerebral ischemia	22387241:treat
CPM75	Shi-Quan-Da-Bu-Tang	Disease13341	fatigue	29982213:null
CPM59	Mu-Li-Tang	Disease25	stroke	30235703:null
CPM59	Mu-Li-Tang	Disease25	stroke	31601868:null
CPM97	You-Fang	Disease7304	cerebral ischemia-reperfusion injury	27396346:null
CPM97	You-Fang	Disease7249	cerebral ischemia	27396346:null
CPM97	You-Fang	Disease25	stroke	27396346:treat
CPM97	You-Fang	Disease7249	cerebral ischemia	27396346:treat
CPM97	You-Fang	Disease18756	injury	27396346:treat
CPM16	Chai-Hu-Jia-Long-Gu-Mu-Li-Tang	Disease25	stroke	30235703:null
CPM16	Chai-Hu-Jia-Long-Gu-Mu-Li-Tang	Disease25	stroke	31601868:null
CPM10	Ban-Xia-Xie-Xin-Tang	Disease27097	peptic ulcer disease	26549268:used
CPM10	Ban-Xia-Xie-Xin-Tang	Disease5620	Bulbus Fritillariae Thunbergii	26549268:null
CPM15	Bu-Yang-Huan-Wu-Tang	Disease15959	HPLC-MS/MS	22952787:null
CPM15	Bu-Yang-Huan-Wu-Tang	Disease25	stroke	25237385:null
CPM60	Mu-Xiang-You-Fang	Disease7304	cerebral ischemia-reperfusion injury	27396346:null
CPM60	Mu-Xiang-You-Fang	Disease7249	cerebral ischemia	27396346:null
CPM27	DanShen	Disease765	acute ischaemic stroke	17443544:used
CPM27	DanShen	Disease19786	ischaemic stroke	17443544:used
CPM27	DanShen	Disease25	stroke	17443544:used
CPM27	DanShen	Disease765	acute ischaemic stroke	15495099:used
CPM27	DanShen	Disease19786	ischaemic stroke	15495099:used
CPM27	DanShen	Disease25	stroke	15495099:used
CPM60	Mu-Xiang-You-Fang	Disease25	stroke	27396346:treat
CPM60	Mu-Xiang-You-Fang	Disease7249	cerebral ischemia	27396346:treat
CPM60	Mu-Xiang-You-Fang	Disease18756	injury	27396346:treat
CPM27	DanShen	Disease765	acute ischaemic stroke	17443544:null
CPM27	DanShen	Disease19786	ischaemic stroke	17443544:null
CPM27	DanShen	Disease25	stroke	17443544:null
CPM27	DanShen	Disease765	acute ischaemic stroke	15495099:null
CPM27	DanShen	Disease19786	ischaemic stroke	15495099:null
CPM27	DanShen	Disease25	stroke	15495099:null
CPM27	DanShen	Disease765	acute ischaemic stroke	15495099:causing
CPM27	DanShen	Disease19786	ischaemic stroke	15495099:causing
CPM27	DanShen	Disease25	stroke	15495099:causing
CPM107	Huanglian-Zhizicouplet	Disease23099	middle cerebral artery	24707870:null
CPM56	Maekmoondong-tang	Disease22150	lung cancer	30024544:null
CPM27	DanShen	Disease22553	MD	27015174:null
CPM27	DanShen	Disease22553	MD	27015174:reduced
CPM77	Shuanghe-tang	Disease4654	BBB	29599893:attenuated
CPM77	Shuanghe-tang	Disease3818	attenuated edema	29599893:null
CPM27	DanShen	Disease20467	ischemic stroke	26477801:null
CPM27	DanShen	Disease25	stroke	26477801:null
CPM77	Shuanghe-tang	Disease5326	brain injury	29599893:protect
CPM77	Shuanghe-tang	Disease19848	ischemia	29599893:protect
CPM94	Yan-Hu-Suo	Disease27097	peptic ulcer disease	26549268:used
CPM94	Yan-Hu-Suo	Disease5620	Bulbus Fritillariae Thunbergii	26549268:null
CPM84	Tongxinluo	Disease20467	ischemic stroke	29247478:alleviates
CPM84	Tongxinluo	Disease25	stroke	29247478:alleviates
CPM84	Tongxinluo	Disease33206	vascular endothelial function	29247478:alleviates
CPM78	Shuanghe-Tang	Disease29881	Shuanghe-Tang Extract Attenuates Postischemic Brain Injury and Edema	29599893:null
