Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb177	Huang-Lian	Ingredient29	Baicalin	28894512:null
Herb177	Huang-Lian	Ingredient33	Berberine	28894512:null
Herb177	Huang-Lian	Ingredient29	baicalin	28894512:null
Herb177	Huang-Lian	Ingredient29	baicalin	23628154:is
Herb177	Huang-Lian	Ingredient33	berberine	23628154:is
Herb177	Huang-Lian	Ingredient29	baicalin	20093170:null
Herb177	Huang-Lian	Ingredient29	baicalin	31031621:investigated
Herb177	Huang-Lian	Ingredient33	berberine	31031621:investigated
Herb58	Chong	Ingredient57	choline	17268076:consisting
Herb267	Qiang	Ingredient79	digoxin	11477829:null
Herb179	Huang-Lian-Jie-Du-Tang	Ingredient29	baicalin	23628154:is
Herb179	Huang-Lian-Jie-Du-Tang	Ingredient33	berberine	23628154:is
Herb179	Huang-Lian-Jie-Du-Tang	Ingredient29	baicalin	20093170:null
Herb316	Shui	Ingredient97	fluoxetine	26383034:used
Herb316	Shui	Ingredient97	fluoxetine	26571884:null
Herb378	Xiong	Ingredient108	glucose	26895969:null
Herb378	Xiong	Ingredient108	glucose	26895969:provided
Herb175	Huang-Li	Ingredient29	Baicalin	28894512:null
Herb175	Huang-Li	Ingredient33	Berberine	28894512:null
Herb175	Huang-Li	Ingredient29	baicalin	28894512:null
Herb175	Huang-Li	Ingredient29	baicalin	23628154:is
Herb175	Huang-Li	Ingredient33	berberine	23628154:is
Herb175	Huang-Li	Ingredient29	baicalin	20093170:null
Herb175	Huang-Li	Ingredient29	baicalin	31031621:investigated
Herb175	Huang-Li	Ingredient33	berberine	31031621:investigated
Herb78	Danggui	Ingredient67	Curcumin	31471773:decrease
Herb138	Gualou	Ingredient108	Glucose	29075304:null
Herb161	hongfen	Ingredient108	Glucose	30518742:Protects
Herb305	Shengma	Ingredient118	guanidine	15879682:administered
Herb305	Shengma	Ingredient118	guanidine	15879682:shared
Herb305	Shengma	Ingredient118	guanidine	15879682:null
Herb97	ercha	Ingredient19	arginine	8767617:null
Herb97	ercha	Ingredient19	arginine	10894822:null
Herb97	ercha	Ingredient149	leucine	10894822:null
Herb97	ercha	Ingredient168	methionine	10894822:null
Herb97	ercha	Ingredient19	arginine	9756579:null
Herb97	ercha	Ingredient149	leucine	9756579:null
Herb97	ercha	Ingredient168	methionine	9756579:null
Herb143	Guizhi	Ingredient108	Glucose	29075304:null
Herb366	Wuli	Ingredient97	Fluoxetine	24906594:comparing
Herb366	Wuli	Ingredient97	Fluoxetine	24906594:null
Herb203	JUPI	Ingredient55	Cholesterol	28450350:null
Herb203	JUPI	Ingredient55	cholesterol	28450350:null
Herb203	JUPI	Ingredient55	cholesterol	28450350:Evaluating
Herb203	JUPI	Ingredient55	cholesterol	21493817:allocated
Herb203	JUPI	Ingredient55	cholesterol	20026779:allocated
Herb203	JUPI	Ingredient55	cholesterol	16503422:null
Herb369	Xiangdan	Ingredient108	glucose	20353105:null
Herb379	Xixian	Ingredient55	cholesterol	31359683:involved
Herb379	Xixian	Ingredient109	glutamate	31359663:null
Herb87	Dihuang	Ingredient108	Glucose	29234386:null
Herb61	chuanxiong	Ingredient58	citrin	31090302:null
Herb61	chuanxiong	Ingredient215	quercitrin	31090302:null
Herb61	chuanxiong	Ingredient209	puerarin	18987534:null
Herb61	chuanxiong	Ingredient108	glucose	18987534:null
Herb61	chuanxiong	Ingredient209	puerarin	24082627:null
Herb61	Chuanxiong	Ingredient188	Ononin	30836247:null
Herb61	Chuanxiong	Ingredient190	paeoniflorin	22952787:null
Herb124	Gegen	Ingredient67	Curcumin	31471773:decrease
Herb124	Gegen	Ingredient209	Puerarin	25206641:null
Herb375	Xijiao	Ingredient108	Glucose	29234386:null
Herb182	Huangqin	Ingredient28	Baicalein	20637223:null
Herb347	Tianma	Ingredient216	quinone	31207093:null
Herb180	Huangqi	Ingredient28	Baicalein	20637223:null
Herb81	Danshen	Ingredient209	Puerarin	17463317:null
Herb81	Danshen	Ingredient216	quinone	26521431:null
Herb81	Danshen	Ingredient52	catechol	25670806:null
Herb81	Danshen	Ingredient79	digoxin	17439716:act
Herb81	Danshen	Ingredient51	catechin	15488895:showed
Herb81	Danshen	Ingredient51	catechin	15488895:null
Herb81	Danshen	Ingredient67	Curcumin	31471773:decrease
Herb81	Danshen	Ingredient108	glucose	29383171:null
Herb134	Gouteng	Ingredient216	quinone	31207093:null
Herb374	xifen	Ingredient82	dopamine	17116309:prevent
Herb374	xifen	Ingredient150	levodopa	17116309:lesioned
Herb374	xifen	Ingredient211	pyridine	17116309:lesioned
Herb374	xifen	Ingredient203	progesterone	12053012:null
Herb374	xifen	Ingredient92	estradiol	15950203:inhibited
Herb374	xifen	Ingredient92	estradiol	16517945:compared
Herb374	xifen	Ingredient92	estradiol	16517945:administered
Herb374	xifen	Ingredient92	estradiol	16517945:null
Herb374	xifen	Ingredient92	estradiol	16517945:increased
Herb374	xifen	Ingredient92	estradiol	27389095:relaxed
Herb374	xifen	Ingredient92	estradiol	27389095:null
Herb374	xifen	Ingredient19	arginine	27389095:null
