Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb117	Fu-Zi	Drug657	Fu	31331548:null
Herb409	Zhi-Mu	Drug657	Fu	31331548:null
Herb345	Tian-Hua-Fen	Drug657	Fu	31331548:null
Herb139	Gua-Lou	Drug1039	ng	25710597:null
Herb306	Sheng-Ma	Drug1039	ng	27868379:null
Herb306	Sheng-Ma	Drug657	Fu	26322893:null
Herb220	Lou-Gu	Drug1039	ng	25710597:null
Herb185	Huang-Wan	Drug792	insulin	26817897:Liu-Wei-Di-Huang-Wan
Herb144	Gui-Zhi	Drug657	Fu	31331548:null
Herb144	Gui-Zhi	Drug1039	ng	25710597:null
Herb144	Gui-Zhi	Drug657	Fu	13678228:null
Herb390	Yan-Hu-Suo	Drug657	Fu	28213110:null
Herb93	Du-Huo	Drug657	Fu	28213110:null
Herb88	Di-Huang	Drug792	insulin	26817897:Liu-Wei-Di-Huang-Wan
Herb244	Niu-Xi	Drug657	Fu	28213110:null
Herb341	Tao-Ren	Drug146	aspirin	28168001:null
Herb125	Ge-Gen	Drug657	Fu	31331548:null
Herb407	Zhi-Gan-Cao	Drug657	Fu	26322893:null
Herb170	Hua-Fen	Drug657	Fu	31331548:null
Herb119	Gan-Cao	Drug657	Fu	31331548:null
Herb119	Gan-Cao	Drug657	Fu	26322893:null
Herb76	Da-Huang	Drug792	insulin	26817897:null
Herb82	Dan-Shen	Drug657	Fu	31331548:null
Herb82	Dan-Shen	Drug657	Fu	28213110:null
Herb82	Dan-Shen	Drug792	insulin	26817897:null
Herb177	Huang-Lian	Drug195	Berberine	28894512:null
Herb177	Huang-Lian	Drug195	berberine	23628154:is
Herb177	Huang-Lian	Drug195	berberine	31031621:investigated
Herb113	Fu-Ling	Drug657	Fu	13678228:null
Herb192	Jiang	Drug146	aspirin	28948649:null
Herb302	Shao-Yao	Drug657	Fu	31331548:null
Herb115	Fu-Mai	Drug657	Fu	27473956:null
Herb418	Zhu-Yu	Drug657	Fu	28213110:null
Herb418	Zhu-Yu	Drug657	Fu	26322893:null
Herb418	Zhu-Yu	Drug657	Fu	21315142:null
Herb120	Gan-Cao-Tan	Drug657	Fu	31331548:null
Herb120	Gan-Cao-Tan	Drug657	Fu	26322893:null
Herb267	Qiang	Drug452	digoxin	11477829:null
Herb388	Yan-Hu	Drug657	Fu	28213110:null
Herb200	Ji-Sheng	Drug657	Fu	28213110:null
Herb216	Liu-Wei-Di-Huang-Wan	Drug792	insulin	26817897:Liu-Wei-Di-Huang-Wan
Herb43	Cao-Tan	Drug657	Fu	31331548:null
Herb43	Cao-Tan	Drug657	Fu	26322893:null
Herb179	Huang-Lian-Jie-Du-Tang	Drug195	berberine	23628154:is
Herb190	Hu-Suo	Drug657	Fu	28213110:null
Herb410	Zhi-Shao	Drug657	Fu	31331548:null
Herb389	Yan-Hu-Su	Drug657	Fu	28213110:null
Herb319	Shu-Ji	Drug657	Fu	28213110:null
Herb406	Zhi-Gan	Drug657	Fu	26322893:null
Herb405	Zhi-Fu	Drug657	Fu	13678228:null
Herb199	Ji-She	Drug657	Fu	28213110:null
Herb316	Shui	Drug825	K	27482225:null
Herb316	Shui	Drug825	K	27482225:associated
Herb316	Shui	Drug628	fluoxetine	26383034:used
Herb316	Shui	Drug628	fluoxetine	26571884:null
Herb316	Shui	Drug313	Cisapride	18257178:thrice
Herb175	Huang-Li	Drug195	Berberine	28894512:null
Herb175	Huang-Li	Drug195	berberine	23628154:is
Herb175	Huang-Li	Drug195	berberine	31031621:investigated
Herb236	Mu-Tan	Drug657	Fu	31331548:null
Herb353	Tongbian	Drug657	fu	24377218:null
Herb291	sanqi	Drug689	ginsenoside Rg1	29896950:null
Herb291	sanqi	Drug825	K	21293466:inhibit
Herb291	sanqi	Drug687	ginseng	21293466:null
Herb291	sanqi	Drug689	ginsenoside Rg1	29896951:null
Herb291	sanqi	Drug244	camphor	19449344:null
Herb291	Sanqi	Drug682	ginkgo biloba	25532388:null
Herb78	Danggui	Drug331	clopidogrel	31471773:null
Herb78	Danggui	Drug331	clopidogrel	31471773:decrease
Herb138	Gualou	Drug239	calcium	29185359:reverses
Herb305	Shengma	Drug331	clopidogrel	27459888:null
Herb305	Shengma	Drug687	ginseng	16883630:comprising
Herb305	Shengma	Drug1055	nitric oxide	15879682:protects
Herb305	Shengma	Drug1055	nitric oxide	15879682:null
Herb305	Shengma	Drug87	aminoguanidine	15879682:administered
Herb305	Shengma	Drug87	aminoguanidine	15879682:shared
Herb305	Shengma	Drug87	aminoguanidine	15879682:null
Herb305	Shengma	Drug331	clopidogrel	31471773:null
Herb97	ercha	Drug643	Fondaparinux sodium	16022574:null
Herb97	ercha	Drug726	heparin	16022574:null
Herb97	ercha	Drug881	LMWH	10549724:noninterchangeable
Herb97	ercha	Drug946	methionine	10894822:null
Herb97	ercha	Drug861	leucine	10894822:null
Herb97	ercha	Drug860	leu	9756579:null
Herb97	ercha	Drug946	methionine	9756579:null
Herb97	ercha	Drug861	leucine	9756579:null
Herb404	Zhenzhu	Drug825	k	31602864:null
Herb142	guiding	Drug1088	omeprazole	30892487:using
Herb142	guiding	Drug933	met	23074499:null
Herb142	guiding	Drug1003	MRA	1727307:null
Herb142	guiding	Drug208	BNP	21804778:null
Herb21	baifuzi	Drug239	calcium	17408986:null
Herb21	Baifuzi	Drug825	K	21364615:reduces
Herb21	Baifuzi	Drug563	ethanol	21364615:null
Herb21	Baifuzi	Drug825	K	21364615:null
Herb21	Baifuzi	Drug563	ethanol	21364615:purified
Herb21	Baifuzi	Drug825	K	21364615:purified
Herb21	Baifuzi	Drug825	K	21364615:activated
Herb380	xixin	Drug682	ginkgo biloba	25532388:null
Herb143	Guizhi	Drug239	calcium	29185359:reverses
Herb242	Niuhuang	Drug599	fat	27880884:null
Herb242	Niuhuang	Drug1590	vitamin D3	27880884:null
Herb242	Niuhuang	Drug1107	pa	25951631:null
Herb290	Sanger	Drug1366	SHH	28640243:null
Herb366	Wuli	Drug628	Fluoxetine	24906594:comparing
Herb366	Wuli	Drug1363	Sertraline	24906594:comparing
Herb366	Wuli	Drug1129	Paroxetine	24906594:comparing
Herb366	Wuli	Drug315	Citalopram	24906594:comparing
Herb366	Wuli	Drug628	Fluoxetine	24906594:null
Herb366	Wuli	Drug1363	Sertraline	24906594:null
Herb366	Wuli	Drug1129	Paroxetine	24906594:null
Herb366	Wuli	Drug315	Citalopram	24906594:null
Herb203	JUPI	Drug298	Cholesterol	28450350:null
Herb203	JUPI	Drug1338	Rosuvastatin	28450350:Evaluating
Herb203	JUPI	Drug298	cholesterol	28450350:null
Herb203	JUPI	Drug298	cholesterol	28450350:Evaluating
Herb203	JUPI	Drug1338	rosuvastatin	28450350:compared
Herb203	JUPI	Drug1338	rosuvastatin	22883507:assigned
Herb203	JUPI	Drug1338	rosuvastatin	21493817:allocated
Herb203	JUPI	Drug298	cholesterol	21493817:allocated
Herb203	JUPI	Drug1338	rosuvastatin	21493817:null
Herb203	JUPI	Drug127	Arg	21493817:effective
Herb203	JUPI	Drug1338	Rosuvastatin	20026779:null
Herb203	JUPI	Drug298	cholesterol	20026779:allocated
Herb203	JUPI	Drug1338	rosuvastatin	20026779:allocated
Herb203	JUPI	Drug298	cholesterol	16503422:null
Herb203	JUPI	Drug1338	Rosuvastatin	16503422:null
Herb249	oumi	Drug1598	warfarin	30359142:null
Herb249	oumi	Drug7	acenocoumarol	30359142:null
Herb379	Xixian	Drug825	K	31359683:promote
Herb379	Xixian	Drug334	CoA	31090302:null
Herb172	huaitong	Drug146	aspirin	25532381:null
Herb172	huaitong	Drug792	insulin	25532381:null
Herb61	chuanxiong	Drug687	ginseng	31359663:null
Herb61	chuanxiong	Drug334	CoA	31090302:null
Herb61	chuanxiong	Drug1051	nimodipine	18987534:null
Herb61	Chuanxiong	Drug56	alcohol	30836247:null
Herb61	Chuanxiong	Drug687	Ginseng	30028327:null
Herb61	Chuanxiong	Drug687	Ginseng	30028327:deficiency-nourishing
