Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb117	Fu-Zi	Chemical6508	Fu-Zi	31331548:null
Herb117	Fu-Zi	Chemical6709	Ge-Gen	31331548:null
Herb117	Fu-Zi	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
Herb409	Zhi-Mu	Chemical6508	Fu-Zi	31331548:null
Herb409	Zhi-Mu	Chemical6709	Ge-Gen	31331548:null
Herb409	Zhi-Mu	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
Herb345	Tian-Hua-Fen	Chemical6508	Fu-Zi	31331548:null
Herb345	Tian-Hua-Fen	Chemical6709	Ge-Gen	31331548:null
Herb345	Tian-Hua-Fen	Chemical7139	Gui-Zhi-Shao-Yao-Zhi-Mu	31331548:null
Herb60	Chuan-Lian-Zi	Chemical2833	Ban-Xia-Xie-Xin-Tang	26549268:null
Herb139	Gua-Lou	Chemical7115	Gua-Lou-Gui-Zhi	25710597:null
Herb306	Sheng-Ma	Chemical14721	YiQiFuMai	26834461:null
Herb306	Sheng-Ma	Chemical14733	YQFM	26834461:null
Herb306	Sheng-Ma	Chemical14753	Zhi-Gan-Cao	26322893:null
Herb306	Sheng-Ma	Chemical14700	Xue-Fu-Zhu-Yu	26322893:null
Herb33	Bei-Mu	Chemical2833	Ban-Xia-Xie-Xin-Tang	26549268:null
Herb228	Mao-Dong-Qing	Chemical8730	Mao	31401319:null
Herb49	Chai-Hu	Chemical7140	Gu-Mu-Li	30235703:null
Herb49	Chai-Hu	Chemical7140	Gu-Mu-Li	31601868:null
Herb220	Lou-Gu	Chemical7115	Gua-Lou-Gui-Zhi	25710597:null
Herb381	Xi-Xin	Chemical14694	Xi-Xin	31348992:null
Herb381	Xi-Xin	Chemical14693	Xin	31348992:null
Herb144	Gui-Zhi	Chemical6508	Fu-Zi	31331548:null
Herb144	Gui-Zhi	Chemical6709	Ge-Gen	31331548:null
