Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb60	Chuan-Lian-Zi	Symptom501	peptic ulcer	26549268:used
Herb139	Gua-Lou	Symptom115	Chemical	25710597:null
Herb139	Gua-Lou	Symptom340	injury	25710597:null
Herb139	Gua-Lou	Symptom631	stroke	25710597:used
Herb306	Sheng-Ma	Symptom631	stroke	27868379:developed
Herb33	Bei-Mu	Symptom501	peptic ulcer	26549268:used
Herb49	Chai-Hu	Symptom162	depression	30235703:null
Herb49	Chai-Hu	Symptom631	stroke	30235703:null
Herb49	Chai-Hu	Symptom162	depression	31601868:null
Herb49	Chai-Hu	Symptom631	stroke	31601868:null
Herb220	Lou-Gu	Symptom115	Chemical	25710597:null
Herb220	Lou-Gu	Symptom340	injury	25710597:null
Herb220	Lou-Gu	Symptom631	stroke	25710597:used
Herb381	Xi-Xin	Symptom631	stroke	31348992:null
Herb381	Xi-Xin	Symptom631	stroke	31348992:exhibits
Herb144	Gui-Zhi	Symptom115	Chemical	25710597:null
Herb144	Gui-Zhi	Symptom340	injury	25710597:null
Herb144	Gui-Zhi	Symptom631	stroke	25710597:used
Herb390	Yan-Hu-Suo	Symptom501	peptic ulcer	26549268:used
Herb234	Mu-Li	Symptom162	depression	30235703:null
Herb234	Mu-Li	Symptom631	stroke	30235703:null
Herb234	Mu-Li	Symptom162	depression	31601868:null
Herb234	Mu-Li	Symptom631	stroke	31601868:null
Herb243	Niu-Huang	Symptom631	stroke	28912713:used
Herb243	Niu-Huang	Symptom545	ptosis	24690773:induced
Herb243	Niu-Huang	Symptom177	disease	24690773:used
Herb243	Niu-Huang	Symptom631	stroke	24690773:approved
Herb238	Mu-Xiang	Symptom340	injury	27396346:null
Herb238	Mu-Xiang	Symptom340	injury	27396346:treat
Herb238	Mu-Xiang	Symptom631	stroke	27396346:treat
Herb84	Deng-Zhan-Xi-Xin	Symptom631	stroke	31348992:null
Herb84	Deng-Zhan-Xi-Xin	Symptom631	stroke	31348992:exhibits
Herb147	Hai-Piao-Xiao	Symptom501	peptic ulcer	26549268:used
Herb31	Ban-Xia	Symptom501	peptic ulcer	26549268:used
Herb341	Tao-Ren	Symptom631	stroke	28168001:null
Herb211	Lian-Zi	Symptom501	peptic ulcer	26549268:used
Herb218	Long-Gu	Symptom162	depression	30235703:null
Herb218	Long-Gu	Symptom631	stroke	30235703:null
Herb218	Long-Gu	Symptom162	depression	31601868:null
Herb218	Long-Gu	Symptom631	stroke	31601868:null
Herb177	Huang-Lian	Symptom421	MS	29360497:null
Herb177	Huang-Lian	Symptom631	Stroke	28400733:null
Herb177	Huang-Lian	Symptom631	stroke	28400733:null
Herb177	Huang-Lian	Symptom631	Stroke	28894512:null
Herb177	Huang-Lian	Symptom631	stroke	28894512:used
Herb177	Huang-Lian	Symptom631	stroke	27779107:act
Herb177	Huang-Lian	Symptom631	stroke	27779107:treat
Herb177	Huang-Lian	Symptom631	stroke	24751364:treat
Herb177	Huang-Lian	Symptom631	stroke	24051274:null
Herb177	Huang-Lian	Symptom340	injury	23811213:induced
