Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb414	Zhi-Zi	Disease9424	Coptidis rhizoma	26976763:null
Herb60	Chuan-Lian-Zi	Disease27097	peptic ulcer disease	26549268:used
Herb60	Chuan-Lian-Zi	Disease5620	Bulbus Fritillariae Thunbergii	26549268:null
Herb139	Gua-Lou	Disease25	stroke	25710597:used
Herb139	Gua-Lou	Disease30255	spinal cord injury	25710597:used
Herb306	Sheng-Ma	Disease20467	ischemic stroke	27868379:developed
Herb306	Sheng-Ma	Disease25	stroke	27868379:developed
Herb33	Bei-Mu	Disease27097	peptic ulcer disease	26549268:used
Herb33	Bei-Mu	Disease5620	Bulbus Fritillariae Thunbergii	26549268:null
Herb49	Chai-Hu	Disease25	stroke	30235703:null
Herb49	Chai-Hu	Disease25	stroke	31601868:null
Herb220	Lou-Gu	Disease25	stroke	25710597:used
Herb220	Lou-Gu	Disease30255	spinal cord injury	25710597:used
Herb381	Xi-Xin	Disease20467	ischemic stroke	31348992:null
Herb381	Xi-Xin	Disease25	stroke	31348992:null
Herb381	Xi-Xin	Disease20467	ischemic stroke	31348992:exhibits
Herb381	Xi-Xin	Disease25	stroke	31348992:exhibits
Herb144	Gui-Zhi	Disease25	stroke	25710597:used
Herb144	Gui-Zhi	Disease30255	spinal cord injury	25710597:used
Herb144	Gui-Zhi	Disease20772	KBG	13678228:null
Herb390	Yan-Hu-Suo	Disease27097	peptic ulcer disease	26549268:used
Herb390	Yan-Hu-Suo	Disease5620	Bulbus Fritillariae Thunbergii	26549268:null
Herb234	Mu-Li	Disease25	stroke	30235703:null
Herb234	Mu-Li	Disease25	stroke	31601868:null
Herb243	Niu-Huang	Disease25	stroke	28912713:used
Herb243	Niu-Huang	Disease7249	cerebral ischemia	24690773:protects
Herb243	Niu-Huang	Disease7049	cerebral diseases	24690773:used
Herb243	Niu-Huang	Disease25	stroke	24690773:approved
Herb238	Mu-Xiang	Disease7304	cerebral ischemia-reperfusion injury	27396346:null
Herb238	Mu-Xiang	Disease7249	cerebral ischemia	27396346:null
Herb238	Mu-Xiang	Disease25	stroke	27396346:treat
Herb238	Mu-Xiang	Disease7249	cerebral ischemia	27396346:treat
Herb238	Mu-Xiang	Disease18756	injury	27396346:treat
Herb84	Deng-Zhan-Xi-Xin	Disease20467	ischemic stroke	31348992:null
Herb84	Deng-Zhan-Xi-Xin	Disease25	stroke	31348992:null
Herb84	Deng-Zhan-Xi-Xin	Disease20467	ischemic stroke	31348992:exhibits
