Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb185	Huang-Wan	Pathway9021	insulin	26817897:Liu-Wei-Di-Huang-Wan
Herb381	Xi-Xin	Pathway18719	Xin	31348992:null
Herb243	Niu-Huang	Pathway2197	Bcl-2	24690773:protects
Herb243	Niu-Huang	Pathway2166	Bax	24690773:protects
Herb243	Niu-Huang	Pathway3092	caspase-3	24690773:protects
Herb84	Deng-Zhan-Xi-Xin	Pathway18719	Xin	31348992:null
Herb88	Di-Huang	Pathway9021	insulin	26817897:Liu-Wei-Di-Huang-Wan
Herb76	Da-Huang	Pathway9021	insulin	26817897:null
Herb82	Dan-Shen	Pathway9021	insulin	26817897:null
Herb177	Huang-Lian	Pathway9365	Jasminoidin	28894512:null
Herb177	Huang-Lian	Pathway10289	MAPK	23811213:induced
Herb177	Huang-Lian	Pathway11353	mTOR	23811213:induced
Herb177	Huang-Lian	Pathway7924	HLJDT	23628154:null
Herb216	Liu-Wei-Di-Huang-Wan	Pathway9021	insulin	26817897:Liu-Wei-Di-Huang-Wan
Herb399	Yu-Li	Pathway18782	ZHANG	25335266:null
Herb179	Huang-Lian-Jie-Du-Tang	Pathway7924	HLJDT	23628154:null
Herb376	Xin-Fa	Pathway18784	Zhi	18619256:null
Herb376	Xin-Fa	Pathway18719	Xin	18619256:null
Herb378	Xiong	Pathway17497	TMP	27380043:null
Herb175	Huang-Li	Pathway9365	Jasminoidin	28894512:null
Herb175	Huang-Li	Pathway10289	MAPK	23811213:induced
Herb175	Huang-Li	Pathway11353	mTOR	23811213:induced
Herb175	Huang-Li	Pathway7924	HLJDT	23628154:null
Herb212	lichen	Pathway14893	recombinant Cheonggukjang kinase	21554139:null
Herb212	lichen	Pathway3544	CGK	21554139:null
Herb212	lichen	Pathway6043	fibrin	21554139:null
Herb291	sanqi	Pathway13034	Panax notoginseng saponins	29896951:null
Herb163	Honghua	Pathway7625	herb Danshen	29383171:null
Herb78	Danggui	Pathway12766	p	29844404:null
Herb78	Danggui	Pathway12766	p	29844404:used
Herb78	Danggui	Pathway12766	p	29844404:treat
Herb78	Danggui	Pathway5031	DSS	26236546:null
Herb138	Gualou	Pathway6772	GLGZG	25815607:null
Herb138	Gualou	Pathway6772	GLGZG	25815607:examine
Herb138	Gualou	Pathway13109	PARP-1	31792665:null
Herb138	Gualou	Pathway762	AIF	31792665:null
Herb138	Gualou	Pathway13061	PAR	31792665:null
Herb229	mapi	Pathway12872	p38	26273189:null
Herb229	mapi	Pathway11035	mitogen-activated protein kinase	26273189:null
Herb229	mapi	Pathway10289	MAPK	26273189:null
Herb229	mapi	Pathway10289	MAPK	26273189:targets
Herb229	mapi	Pathway10304	MAPKs	26273189:targets
Herb229	mapi	Pathway12872	p38	26273189:thought
Herb229	mapi	Pathway12872	p38	26273189:counteract
Herb229	mapi	Pathway10289	MAPK	26273189:thought
Herb229	mapi	Pathway10289	MAPK	26273189:counteract
Herb229	mapi	Pathway10304	MAPKs	26273189:thought
Herb229	mapi	Pathway10304	MAPKs	26273189:counteract
Herb229	mapi	Pathway10304	MAPKs	26273189:null
Herb161	hongfen	Pathway18775	ZFG	30518742:null
Herb305	Shengma	Pathway16025	Shengmai San	16883630:null
Herb48	Chaihu	Pathway17374	Tianma Gouteng yin	25204193:null
Herb97	ercha	Pathway2166	Bax	22056880:interchangeable
Herb97	ercha	Pathway2148	Bak	22056880:interchangeable
Herb97	ercha	Pathway1554	Apo E-2	8767617:null
Herb97	ercha	Pathway1553	Apo E sequences	8767617:null
Herb97	ercha	Pathway17228	TFIIB	1557390:interchangeable
Herb97	ercha	Pathway6474	GAL4	1557390:interchangeable
Herb97	ercha	Pathway18574	VP16	1557390:interchangeable
Herb97	ercha	Pathway14157	PRC2	27783950:associated
Herb97	ercha	Pathway7348	H3K27	27783950:associated
Herb97	ercha	Pathway7349	H3K27me2	27783950:associated
Herb97	ercha	Pathway7350	H3K27me3	27783950:associated
Herb233	Muji	Pathway17178	TENS	20046171:null
Herb233	Muji	Pathway18244	UST	20046171:null
Herb233	Muji	Pathway18173	ultrasonic therapy	20046171:null
Herb142	guiding	Pathway2523	BNP	21804778:null
Herb142	guiding	Pathway4760	D-dimer proteins	21804778:null
Herb142	guiding	Pathway13605	PITX2	21804778:null
Herb142	guiding	Pathway18778	ZFHX3 genes	21804778:null
Herb142	guiding	Pathway8762	IL-1	28895072:null
Herb142	guiding	Pathway8818	IL-18	28895072:null
Herb380	xixin	Pathway11956	neurotrophins	24012966:upregulate
Herb143	Guizhi	Pathway6772	GLGZG	25815607:null
Herb143	Guizhi	Pathway6772	GLGZG	25815607:examine
Herb143	Guizhi	Pathway13109	PARP-1	31792665:null
Herb143	Guizhi	Pathway762	AIF	31792665:null
Herb143	Guizhi	Pathway13061	PAR	31792665:null
Herb310	Shexiang	Pathway3399	CD54	16688995:null
Herb242	Niuhuang	Pathway6155	fMRI	22438174:null
Herb242	Niuhuang	Pathway1353	ANP	25587341:null
Herb210	Lianqiao	Pathway3066	caspase	16360928:blocked
Herb210	Lianqiao	Pathway3092	caspase-3	16360928:blocked
Herb290	Sanger	Pathway3267	CCM1	28645800:null
Herb290	Sanger	Pathway9613	KRIT1	28645800:null
Herb290	Sanger	Pathway3274	CCM2	28645800:null
Herb290	Sanger	Pathway3281	CCM3	28645800:null
Herb290	Sanger	Pathway13187	PDCD10	28645800:null
Herb290	Sanger	Pathway13984	POLG	31425757:null
Herb290	Sanger	Pathway13984	POLG	31425757:harboring
Herb290	Sanger	Pathway16027	SHH	28640243:null
Herb290	Sanger	Pathway18785	ZIC2	28640243:null
Herb290	Sanger	Pathway16192	SIX3	28640243:null
Herb290	Sanger	Pathway17291	TGIF	28640243:null
Herb290	Sanger	Pathway1059	ALS	23475517:null
Herb290	Sanger	Pathway10645	MGMT	28148826:null
Herb290	Sanger	Pathway14565	pTERT	28148826:null
Herb290	Sanger	Pathway8622	IDH1	28148826:null
Herb290	Sanger	Pathway18355	VASP	25457586:null
Herb366	wuli	Pathway18751	yin	24843962:null
Herb366	Wuli	Pathway17933	TSPO	27063986:prevents
Herb366	Wuli	Pathway17933	TSPO	27063986:focused
Herb366	Wuli	Pathway17933	TSPO	27063986:altered
Herb203	JUPI	Pathway16726	Statins	28450350:null
Herb203	JUPI	Pathway9535	KIF6	21493817:effective
Herb203	JUPI	Pathway16726	Statins	20026779:null
Herb387	Yangyi	Pathway18751	yin	25951630:null
Herb83	Dengzhanxixin	Pathway11956	neurotrophins	24012966:upregulate
Herb379	Xixian	Pathway576	ADAMTS1	31359683:promote
Herb379	Xixian	Pathway6141	FLT1	31359683:promote
Herb379	Xixian	Pathway9512	KDR	31359683:promote
Herb379	Xixian	Pathway18404	VEGFA	31359683:promote
Herb379	Xixian	Pathway18418	VEGFR2	31359683:promote
Herb379	Xixian	Pathway2932	CAMK2 AA	31359683:promote
Herb379	Xixian	Pathway10443	MDM2	31359683:promote
Herb379	Xixian	Pathway10295	MAPK1	31359683:promote
Herb379	Xixian	Pathway10298	MAPK3	31359683:promote
Herb379	Xixian	Pathway3446	CDK5	31359683:promote
Herb379	Xixian	Pathway10296	MAPK10	31359683:promote
Herb379	Xixian	Pathway13554	PI3 K	31359683:promote
Herb379	Xixian	Pathway781	Akt	31359683:promote
Herb379	Xixian	Pathway5657	ESR1	31359683:regulating
Herb379	Xixian	Pathway12423	NR1 H3	31359683:regulating
Herb379	Xixian	Pathway14096	PPARA	31359683:regulating
Herb379	Xixian	Pathway14102	PPARG	31359683:regulating
Herb379	Xixian	Pathway9306	ITGA2 B	31359683:prevent
Herb379	Xixian	Pathway803	ALB	31359683:prevent
Herb379	Xixian	Pathway10075	LTA4 H	31359726:null
Herb379	Xixian	Pathway9998	LOX	31359726:null
Herb379	Xixian	Pathway4073	COX-2	31359726:showed
Herb379	Xixian	Pathway10075	LTA4 H	31359726:showed
Herb379	Xixian	Pathway9998	LOX	31359726:showed
Herb379	Xixian	Pathway9998	LOX	31359726:acting
Herb379	Xixian	Pathway17289	TGFR-1	31359663:null
Herb379	Xixian	Pathway18419	VEGFR-2	31359663:null
Herb379	Xixian	Pathway12390	NPC1 L1	31090302:null
Herb379	Xixian	Pathway7938	HMG-CoA reductase	31090302:null
Herb379	Xixian	Pathway16622	SQS	31090302:null
Herb379	Xixian	Pathway11365	MTP	31090302:null
Herb379	Xixian	Pathway3520	CETP	31090302:null
Herb87	Dihuang	Pathway8196	Hua	30641630:null
Herb87	Dihuang	Pathway17374	Tianma Gouteng yin	25204193:null
Herb87	Dihuang	Pathway17464	TLR4	29234386:null
Herb87	Dihuang	Pathway11474	MyD88	29234386:null
Herb87	Dihuang	Pathway11976	NF	29234386:null
Herb172	huaitong	Pathway9021	insulin	25532381:null
Herb30	Banxia	Pathway17374	Tianma Gouteng yin	25204193:null
Herb61	chuanxiong	Pathway13035	Panax pseudo-ginseng	31359663:null
Herb61	chuanxiong	Pathway12390	NPC1 L1	31090302:null
Herb61	chuanxiong	Pathway7938	HMG-CoA reductase	31090302:null
Herb61	chuanxiong	Pathway16622	SQS	31090302:null
Herb61	chuanxiong	Pathway17024	target NPC1 L1	31090302:null
Herb61	chuanxiong	Pathway17464	TLR4	29193143:null
Herb61	chuanxiong	Pathway11474	MyD88	29193143:null
Herb61	chuanxiong	Pathway10289	MAPK	29193143:null
Herb61	chuanxiong	Pathway18320	vascular epithelial growth factor	16608086:null
Herb61	Chuanxiong	Pathway4073	COX-2	31359726:taken
Herb61	Chuanxiong	Pathway10075	LTA4 H	31359726:taken
Herb61	Chuanxiong	Pathway9998	LOX	31359726:taken
Herb61	Chuanxiong	Pathway4073	COX-2	31359726:null
Herb61	Chuanxiong	Pathway10075	LTA4 H	31359726:null
Herb61	Chuanxiong	Pathway9998	LOX	31359726:null
Herb61	Chuanxiong	Pathway9998	LOX	31359726:acting
Herb61	Chuanxiong	Pathway10550	Meta	30347928:achieve
Herb314	Shouwuteng	Pathway3066	caspase	16360928:blocked
Herb314	Shouwuteng	Pathway3092	caspase-3	16360928:blocked
Herb63	cigu	Pathway7316	guanylate cyclase	26520063:null
Herb375	Xijiao	Pathway17464	TLR4	29234386:null
Herb375	Xijiao	Pathway11474	MyD88	29234386:null
Herb375	Xijiao	Pathway11976	NF	29234386:null
Herb169	HUAFEN	Pathway15950	serum triiodothyroidoglobulin	10073023:observed
Herb182	Huangqin	Pathway14509	PSD	15185839:showed
Herb182	Huangqin	Pathway13254	PDZ2	15185839:showed
Herb182	Huangqin	Pathway14514	PSD-95	15185839:showed
Herb182	Huangqin	Pathway8197	Huangqin	15185839:null
