Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Ingredient108	glucose	Drug937	metformin	31902326:null
Ingredient108	glucose	Drug792	insulin	31902326:null
Ingredient108	glucose	Drug792	insulin	31924562:null
Ingredient108	glucose	Drug155	ATP	31907865:null
Ingredient108	glucose	Drug316	citric acid	31907865:null
Ingredient108	glucose	Drug1196	pioglitazone	31379119:likely
Ingredient108	glucose	Drug588	exenatide	31518433:null
Ingredient108	glucose	Drug792	Insulin	31877001:null
Ingredient108	glucose	Drug792	insulin	31877001:null
Ingredient108	glucose	Drug792	insulin	31877001:improving
Ingredient108	glucose	Drug599	fat	31877001:null
Ingredient108	glucose	Drug599	fat	31877001:influence
Ingredient108	glucose	Drug599	fat	31877001:support
Ingredient108	glucose	Drug298	cholesterol	31157748:null
Ingredient108	glucose	Drug792	insulin	31574841:fasting
Ingredient108	glucose	Drug933	met	31313139:null
Ingredient108	glucose	Drug1298	rapamycin	31313139:null
Ingredient108	glucose	Drug792	insulin	31212747:null
Ingredient108	glucose	Drug792	insulin	31212747:evaluated
Ingredient108	glucose	Drug599	fat	31212747:measured
Ingredient108	glucose	Drug599	fat	31212747:evaluated
Ingredient108	glucose	Drug792	insulin	31212747:fasting
Ingredient108	glucose	Drug298	cholesterol	31212747:fasting
Ingredient108	glucose	Drug1349	saxagliptin	30767126:null
Ingredient108	glucose	Drug69	alogliptin	30767126:null
Ingredient108	glucose	Drug388	dapagliflozin	30920851:non-inferior
Ingredient108	glucose	Drug388	dapagliflozin	30609272:null
Ingredient108	glucose	Drug298	cholesterol	31060192:null
Ingredient108	glucose	Drug792	insulin	31372172:inhibiting
Ingredient108	glucose	Drug792	insulin	31372172:independent
Ingredient108	glucose	Drug640	folate	30862697:had
Ingredient108	glucose	Drug1183	phosphate	30381300:null
Ingredient108	glucose	Drug1183	phosphate	30381300:impede
Ingredient108	glucose	Drug443	dichloroacetate	30381300:restrained
Ingredient108	glucose	Drug408	dehydroepiandrosterone	30381300:restrained
Ingredient108	glucose	Drug792	insulin	30660824:null
Ingredient108	glucose	Drug792	insulin	30626912:null
Ingredient108	glucose	Drug792	insulin	30545359:null
Ingredient108	glucose	Drug1371	sitagliptin	30328028:null
Ingredient108	glucose	Drug298	cholesterol	29948740:null
Ingredient108	glucose	Drug298	cholesterol	29649015:null
Ingredient108	glucose	Drug246	canagliflozin	30075873:null
Ingredient108	glucose	Drug937	metformin	30637228:null
Ingredient108	glucose	Drug1059	nitroprusside	29673616:null
Ingredient108	glucose	Drug57	aldosterone	29525327:null
Ingredient108	glucose	Drug857	leptin	29359851:counterbalancing
Ingredient108	glucose	Drug877	liraglutide	29807374:null
Ingredient108	glucose	Drug246	canagliflozin	29807374:null
Ingredient108	glucose	Drug1349	saxagliptin	29807374:null
Ingredient108	glucose	Drug69	alogliptin	29807374:null
Ingredient108	glucose	Drug1371	sitagliptin	29807374:null
Ingredient108	glucose	Drug937	metformin	29807374:null
Ingredient108	glucose	Drug682	Ginkgo biloba	29058254:null
Ingredient108	glucose	Drug684	Ginkgolide B	29058254:null
Ingredient108	glucose	Drug874	Linagliptin	29776406:null
Ingredient108	glucose	Drug1298	rapamycin	29895489:null
Ingredient108	glucose	Drug898	magnesium sulfate	29905566:able
Ingredient108	glucose	Drug847	lamotrigine	29905566:able
Ingredient108	glucose	Drug17	acetylcysteine	29905566:able
Ingredient108	glucose	Drug897	magnesium	29905566:able
Ingredient108	glucose	Drug1546	TXL	29483388:measured;
Ingredient108	glucose	Drug298	cholesterol	29483388:null
Ingredient108	glucose	Drug937	metformin	29320889:null
Ingredient108	glucose	Drug792	insulin	29320889:null
Ingredient108	glucose	Drug246	canagliflozin	29437648:null
Ingredient108	glucose	Drug388	dapagliflozin	28771923:null
Ingredient108	glucose	Drug239	calcium	29539583:enhanced
Ingredient108	glucose	Drug792	insulin	30051787:null
Ingredient108	glucose	Drug298	cholesterol	29325370:null
Ingredient108	glucose	Drug298	cholesterol	29325370:lower
Ingredient108	glucose	Drug298	cholesterol	29325370:smoking
Ingredient108	glucose	Drug155	ATP	29165327:null
Ingredient108	glucose	Drug792	insulin	29138181:null
Ingredient108	glucose	Drug1219	potassium	29138181:null
Ingredient108	glucose	Drug298	cholesterol	28457197:null
Ingredient108	glucose	Drug239	calcium	28457197:null
Ingredient108	glucose	Drug1196	pioglitazone	28522196:null
