Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Ingredient236	sphingomyelin	Chemical8110	Lactosylceramide	27055903:null
Ingredient236	sphingomyelin	Chemical3770	ceramide	27055903:null
Ingredient236	sphingomyelin	Chemical13040	sphingosine-1-phosphate	27055903:null
Ingredient82	dopamine	Chemical1280	6-hydroxydopamine HBr	27059792:null
Ingredient82	dopamine	Chemical1297	6-OHDA	27059792:null
Ingredient75	daidzein	Chemical1600	acetyldaidzin	27059876:null
Ingredient75	daidzein	Chemical8706	malonylgenistin	27059876:null
Ingredient75	daidzein	Chemical6935	glycitin	27059876:null
Ingredient75	daidzein	Chemical4699	daidzein	27059876:null
Ingredient75	daidzein	Chemical13547	tectoridin	27059876:null
Ingredient75	daidzein	Chemical13548	tectorigenin-7-O-xylosylglucosid	27059876:null
Ingredient75	daidzein	Chemical8096	lactate	27059876:null
Ingredient76	daidzin	Chemical1600	acetyldaidzin	27059876:null
Ingredient76	daidzin	Chemical8706	malonylgenistin	27059876:null
Ingredient76	daidzin	Chemical6935	glycitin	27059876:null
Ingredient76	daidzin	Chemical4699	daidzein	27059876:acetylcitin;
Ingredient76	daidzin	Chemical13547	tectoridin	27059876:acetylcitin;
Ingredient76	daidzin	Chemical13548	tectorigenin-7-O-xylosylglucosid	27059876:acetylcitin;
Ingredient76	daidzin	Chemical13547	tectoridin	27059876:null
Ingredient76	daidzin	Chemical8096	lactate	27059876:null
Ingredient55	cholesterol	Chemical14071	triglyceride	27070640:null
Ingredient55	cholesterol	Chemical3930	cholesterol	27070640:null
Ingredient55	cholesterol	Chemical1458	AA	27070640:null
Ingredient55	cholesterol	Chemical1831	AG	27070640:null
Ingredient55	cholesterol	Chemical12868	SNP	27070640:null
Ingredient55	cholesterol	Chemical9869	nicotine	27072795:null
Ingredient55	cholesterol	Chemical3930	cholesterol	27072795:null
Ingredient180	nicotine	Chemical9869	nicotine	27072795:null
Ingredient180	nicotine	Chemical3930	cholesterol	27072795:null
Ingredient108	glucose	Chemical6863	glucose	27077324:null
Ingredient108	glucose	Chemical14568	vitamin D	27077324:higher
Ingredient150	levodopa	Chemical2947	benzodiazepine	27077324:null
Ingredient150	levodopa	Chemical8267	levodopa	27077324:null
Ingredient5	acetylcholine	Chemical2623	aspirin	27079719:null
Ingredient5	acetylcholine	Chemical1596	acetylcholine	27079719:null
Ingredient57	choline	Chemical2623	aspirin	27079719:null
Ingredient57	choline	Chemical1596	acetylcholine	27079719:null
Ingredient55	cholesterol	Chemical8359	lipoprotein-cholesterol	27079881:null
Ingredient55	cholesterol	Chemical3930	cholesterol	27079881:null
Ingredient55	cholesterol	Chemical3930	cholesterol	27079881:known
Ingredient55	cholesterol	Chemical3065	bile acid	27079881:null
Ingredient108	glucose	Chemical9078	MG	27083477:null
Ingredient108	glucose	Chemical6863	glucose	27083477:null
Ingredient108	glucose	Chemical6905	glutathione	27083477:impairs
Ingredient108	glucose	Chemical7073	GSH	27083477:impairs
Ingredient108	glucose	Chemical9078	MG	27083477:impairs
Ingredient109	glutamate	Chemical6890	glutamate	27083477:null
Ingredient111	glutathione	Chemical9078	MG	27083477:null
Ingredient111	glutathione	Chemical6863	glucose	27083477:null
Ingredient111	glutathione	Chemical6905	glutathione	27083477:null
Ingredient111	glutathione	Chemical7073	GSH	27083477:null
Ingredient64	coumarin	Chemical13101	statin	27085816:null
Ingredient64	coumarin	Chemical4264	coumarin	27085816:null
Ingredient251	Trans-cinnamaldehyde	Chemical14008	Trans-cinnamaldehyde	27087648:null
Ingredient251	Trans-cinnamaldehyde	Chemical13478	TCA	27087648:null
Ingredient251	Trans-cinnamaldehyde	Chemical4008	cinnamon	27087648:null
Ingredient108	glucose	Chemical14733	YQFM	27087890:induced
Ingredient108	glucose	Chemical10632	oxygen-glucose	27087890:null
Ingredient66	creatinine	Chemical4349	creatinine	27091686:null
Ingredient169	methylprednisolone	Chemical9038	methylprednisolone	27091686:null
Ingredient134	indole	Chemical7788	Isocorynoxeine	27094112:null
Ingredient134	indole	Chemical13621	tetracyclic oxindole alkaloids	27094112:null
Ingredient7	adenosine	Chemical1739	adenosine triphosphate	27096864:null
Ingredient7	adenosine	Chemical2699	ATP	27096864:null
Ingredient250	thymine	Chemical4638	cytosine	27098243:null
Ingredient250	thymine	Chemical10304	nucleotide	27098243:null
Ingredient108	glucose	Chemical8701	Malibatol A	27098434:null
Ingredient108	glucose	Chemical10632	oxygen-glucose	27098434:null
Ingredient259	tyrosine	Chemical14245	tyrosine	27102960:null
Ingredient19	arginine	Chemical9919	nitric oxide	27105159:null
Ingredient19	arginine	Chemical2664	asymmetric dimethylarginine	27105159:null
Ingredient19	arginine	Chemical1771	ADMA	27105159:null
Ingredient19	arginine	Chemical8427	l-NG-monomethylarginine	27105159:null
Ingredient19	arginine	Chemical1933	aldosterone	27105159:null
Ingredient19	arginine	Chemical10225	NSAID	27105159:determine
Ingredient5	acetylcholine	Chemical1596	acetylcholine	27106041:null
Ingredient5	acetylcholine	Chemical1619	ACh	27106041:null
Ingredient57	choline	Chemical1596	acetylcholine	27106041:null
Ingredient57	choline	Chemical1619	ACh	27106041:null
Ingredient259	tyrosine	Chemical790	3-nitrotyrosine	27106042:null
Ingredient19	arginine	Chemical2547	arginine vasopressin	27107944:null
Ingredient19	Arginine	Chemical2547	Arginine vasopressin	27107944:null
Ingredient19	Arginine	Chemical2747	AVP	27107944:null
