Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Ingredient82	dopamine	Symptom631	stroke	27059792:null
Ingredient130	hyperin	Symptom177	disease	27068588:null
Ingredient57	choline	Symptom129	cognitive impairment	27069366:studied
Ingredient57	choline	Symptom398	medications	27069366:null
Ingredient108	glucose	Symptom177	disease	27077324:null
Ingredient108	glucose	Symptom159	dementia	27077324:null
Ingredient150	levodopa	Symptom166	diabetes mellitus	27077324:null
Ingredient150	levodopa	Symptom164	diabetes	27077324:null
Ingredient55	cholesterol	Symptom177	disease	27079881:null
Ingredient108	glucose	Symptom164	diabetes	27083477:impairs
Ingredient109	glutamate	Symptom150	cyst	27083477:null
Ingredient111	glutathione	Symptom164	diabetes	27083477:null
Ingredient64	coumarin	Symptom177	disease	27085816:null
Ingredient251	Trans-cinnamaldehyde	Symptom631	stroke	27087648:have
Ingredient108	glucose	Symptom545	ptosis	27087890:induced
Ingredient108	glucose	Symptom630	stress	27087890:induced
Ingredient66	creatinine	Symptom50	atrial fibrillation	27091686:had
Ingredient108	glucose	Symptom421	MS	27098434:involved
Ingredient19	arginine	Symptom417	mono	27105159:null
Ingredient259	tyrosine	Symptom630	stress	27106042:null
Ingredient19	arginine	Symptom340	injury	27107944:null
Ingredient19	Arginine	Symptom277	heart failure	27107944:exert
Ingredient108	glucose	Symptom377	leukemia	27108052:regulated
Ingredient108	glucose	Symptom164	diabetes	27112340:leading
Ingredient109	glutamate	Symptom630	stress	27114061:null
Ingredient55	cholesterol	Symptom177	disease	27117865:null
Ingredient55	cholesterol	Symptom383	liver disease	27117865:null
Ingredient19	arginine	Symptom631	stroke	27126918:isolated
Ingredient19	Arginine	Symptom641	swelling	27126918:induces
Ingredient19	Arginine	Symptom340	injury	27126918:induces
Ingredient92	estradiol	Symptom631	stroke	27127723:null
Ingredient92	Estradiol	Symptom631	stroke	27127723:shown
Ingredient5	acetylcholine	Symptom504	peripheral	27128860:null
Ingredient5	acetylcholine	Symptom417	mono	27128860:null
Ingredient57	choline	Symptom504	peripheral	27128860:null
Ingredient57	choline	Symptom417	mono	27128860:null
Ingredient57	choline	Symptom631	stroke	27128860:null
Ingredient108	glucose	Symptom715	weight gain	27129676:null
Ingredient109	glutamate	Symptom417	mono	27129676:striking
Ingredient130	hyperin	Symptom715	weight gain	27129676:null
Ingredient226	rutin	Symptom277	heart failure	27133201:null
Ingredient108	glucose	Symptom630	stress	27136062:causes
Ingredient108	glucose	Symptom630	stress	27143001:null
Ingredient111	glutathione	Symptom630	stress	27143001:null
Ingredient149	leucine	Symptom115	chemical	27143001:null
Ingredient155	L-leucine	Symptom115	chemical	27143001:null
Ingredient205	propranolol	Symptom14	aging	27143273:null
Ingredient205	Propranolol	Symptom14	aging	27143273:null
Ingredient82	dopamine	Symptom545	ptosis	27145922:null
Ingredient109	glutamate	Symptom545	ptosis	27151150:null
Ingredient108	glucose	Symptom545	ptosis	27154863:null
Ingredient55	cholesterol	Symptom631	stroke	27160755:equates
Ingredient141	isorhamnetin	Symptom340	injury	27161367:protected
Ingredient141	isorhamnetin	Symptom545	ptosis	27161367:reduced
Ingredient141	isorhamnetin	Symptom631	stroke	27161367:null
Ingredient141	isorhamnetin	Symptom204	edema	27161367:attenuated
Ingredient141	Isorhamnetin	Symptom340	Injury	27161367:Protects
Ingredient141	Isorhamnetin	Symptom631	stroke	27161367:envisaged
Ingredient222	rhamnetin	Symptom340	Injury	27161367:Protects
Ingredient222	rhamnetin	Symptom340	injury	27161367:protected
Ingredient222	rhamnetin	Symptom545	ptosis	27161367:reduced
Ingredient222	rhamnetin	Symptom631	stroke	27161367:null
Ingredient222	rhamnetin	Symptom204	edema	27161367:attenuated
Ingredient5	acetylcholine	Symptom631	stroke	27163672:null
Ingredient57	choline	Symptom631	stroke	27163672:null
Ingredient259	tyrosine	Symptom630	stress	27163672:null
Ingredient92	estradiol	Symptom631	stroke	27164970:null
Ingredient92	estradiol	Symptom546	pulmonary embolism	27164970:null
Ingredient55	cholesterol	Symptom177	disease	27166776:null
Ingredient55	cholesterol	Symptom468	obesity	27166776:null
Ingredient55	cholesterol	Symptom631	stroke	27166776:null
Ingredient55	cholesterol	Symptom276	heart disease	27166776:null
Ingredient55	cholesterol	Symptom164	diabetes	27166776:null
Ingredient82	Dopamine	Symptom674	tremor	27170027:null
Ingredient150	levodopa	Symptom674	tremor	27170027:null
Ingredient173	myricetin	Symptom340	injury	27171848:null
Ingredient173	myricetin	Symptom631	stroke	27171848:null
Ingredient173	myricetin	Symptom115	chemical	27171848:null
Ingredient173	myricetin	Symptom340	injury	27171848:attenuates
Ingredient173	Myricetin	Symptom340	injury	27171848:ameliorates
Ingredient173	Myricetin	Symptom631	stroke	27171848:ameliorates
Ingredient229	serine	Symptom551	RA	27174004:null
Ingredient261	uridine	Symptom340	injury	27174098:revealed
Ingredient261	uridine	Symptom466	OA	27174098:null
Ingredient66	creatinine	Symptom466	OA	27174293:need
Ingredient7	adenosine	Symptom417	mono	27177932:null
Ingredient7	adenosine	Symptom101	cardiac arrest	27177932:null
Ingredient7	Adenosine	Symptom417	Mono	27177932:null
Ingredient109	glutamate	Symptom545	ptosis	27186142:null
Ingredient109	glutamate	Symptom630	stress	27186142:null
Ingredient109	glutamate	Symptom631	stroke	27186142:null
Ingredient109	glutamate	Symptom631	stroke	27188341:null
Ingredient130	hyperin	Symptom129	cognitive impairment	27195239:pose
Ingredient130	hyperin	Symptom177	disease	27195239:pose
Ingredient130	hyperin	Symptom177	disease	27195239:null
Ingredient130	hyperin	Symptom624	stiffness	27195239:pose
Ingredient130	hyperin	Symptom624	stiffness	27195239:null
Ingredient130	hyperin	Symptom624	stiffness	27195239:associated
Ingredient51	catechin	Symptom631	stroke	27206430:demonstrated
Ingredient89	Epigallocatechin	Symptom631	stroke	27206430:demonstrated
Ingredient102	gallocatechin	Symptom631	stroke	27206430:demonstrated
Ingredient108	glucose	Symptom340	injury	27207539:null
Ingredient108	glucose	Symptom164	diabetes	27207546:null
Ingredient55	cholesterol	Symptom631	stroke	27209494:induced
Ingredient108	glucose	Symptom164	diabetes	27210264:increased
Ingredient108	glucose	Symptom166	Diabetes Mellitus	27210264:null
Ingredient108	glucose	Symptom277	heart failure	27210264:null
Ingredient108	glucose	Symptom164	Diabetes	27210264:null
Ingredient108	Glucose	Symptom166	Diabetes Mellitus	27210264:null
Ingredient108	Glucose	Symptom164	Diabetes	27210264:null
Ingredient111	glutathione	Symptom559	Red	27224907:null
Ingredient51	catechin	Symptom42	ards	27225434:null
Ingredient88	epicatechin	Symptom42	ards	27225434:null
Ingredient55	cholesterol	Symptom164	diabetes	27225988:null
Ingredient55	cholesterol	Symptom42	ards	27225988:null
Ingredient55	cholesterol	Symptom177	disease	27225988:null
Ingredient66	creatinine	Symptom177	Disease	27225988:null
Ingredient66	creatinine	Symptom150	cyst	27225988:null
Ingredient55	cholesterol	Symptom177	disease	27230043:associated
Ingredient55	Cholesterol	Symptom177	disease	27230043:associated
Ingredient49	carnitine	Symptom221	etec	27231199:null
Ingredient259	tyrosine	Symptom648	TB	27237129:null
Ingredient108	glucose	Symptom631	stroke	27238976:null
Ingredient108	glucose	Symptom340	injury	27247192:null
Ingredient108	glucose	Symptom631	stroke	27247192:null
Ingredient7	adenosine	Symptom417	mono	27250857:null
Ingredient7	adenosine	Symptom631	stroke	27250857:null
Ingredient55	cholesterol	Symptom277	heart failure	27251151:linked
Ingredient55	cholesterol	Symptom177	disease	27251151:were
Ingredient52	catechol	Symptom162	depression	27251297:influence
Ingredient52	catechol	Symptom417	mono	27251297:null
Ingredient38	bilirubin	Symptom340	injury	27251382:null
Ingredient38	bilirubin	Symptom318	hyperbilirubinemia	27251382:null
Ingredient38	bilirubin	Symptom327	hypoglycemia	27251382:null
Ingredient108	glucose	Symptom340	injury	27255374:used
Ingredient226	rutin	Symptom277	heart failure	27258371:null
Ingredient19	arginine	Symptom340	injury	27263035:associated
Ingredient19	arginine	Symptom631	stroke	27263035:associated
Ingredient19	arginine	Symptom631	stroke	27263035:null
Ingredient19	arginine	Symptom631	stroke	27263035:investigated
Ingredient19	arginine	Symptom631	stroke	27263035:correlates
Ingredient19	Arginine	Symptom631	Stroke	27263035:null
Ingredient147	L-arginine	Symptom340	injury	27263035:associated
Ingredient147	L-arginine	Symptom631	stroke	27263035:associated
Ingredient147	L-arginine	Symptom631	stroke	27263035:null
Ingredient147	L-arginine	Symptom631	stroke	27263035:investigated
Ingredient147	L-arginine	Symptom631	stroke	27263035:correlates
Ingredient57	choline	Symptom157	delirium	27264617:null
Ingredient57	choline	Symptom157	delirium	27264617:associated
Ingredient55	cholesterol	Symptom631	stroke	27264718:identify
Ingredient55	cholesterol	Symptom631	stroke	27264718:null
Ingredient55	cholesterol	Symptom631	stroke	27264718:performed
Ingredient130	hyperin	Symptom421	MS	27265831:null
