Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Ingredient82	dopamine	Disease25	stroke	27059792:null
Ingredient82	dopamine	Disease23099	middle cerebral artery	27059792:null
Ingredient130	hyperin	Disease30031	small vessel	27068588:null
Ingredient130	hyperin	Disease34021	white matter hyperintensity	27068588:null
Ingredient57	choline	Disease33114	vascular cognitive impairment	27069366:studied
Ingredient108	glucose	Disease10592	dementia	27077324:null
Ingredient150	levodopa	Disease10942	diabetes mellitus	27077324:null
Ingredient5	acetylcholine	Disease15374	hemorrhagic lesions	27079719:null
Ingredient5	acetylcholine	Disease7557	cerebral vascular	27079719:null
Ingredient5	acetylcholine	Disease16136	hypercapnia	27079719:null
Ingredient57	choline	Disease15374	hemorrhagic lesions	27079719:null
Ingredient57	choline	Disease7557	cerebral vascular	27079719:null
Ingredient57	choline	Disease16136	hypercapnia	27079719:null
Ingredient55	cholesterol	Disease6312	cardiovascular diseases	27079881:null
Ingredient108	glucose	Disease22939	MG	27083477:null
Ingredient108	glucose	Disease10934	diabetes impairs the glutathione	27083477:impairs
Ingredient108	glucose	Disease14624	GSH	27083477:impairs
Ingredient108	glucose	Disease22939	MG	27083477:impairs
Ingredient109	glutamate	Disease11035	diabetic brain	27083477:increased
Ingredient111	glutathione	Disease22939	MG	27083477:null
Ingredient111	glutathione	Disease10934	diabetes impairs the glutathione	27083477:null
Ingredient111	glutathione	Disease14624	GSH	27083477:null
Ingredient64	coumarin	Disease7785	cerebrovascular diseases	27085816:null
Ingredient64	coumarin	Disease19342	intravenous thrombolysis	27085816:null
Ingredient251	Trans-cinnamaldehyde	Disease25	stroke	27087648:have
Ingredient108	glucose	Disease23099	middle cerebral artery	27087890:induced
Ingredient108	glucose	Disease27359	pheochromocytoma	27087890:induced
Ingredient66	creatinine	Disease25914	nonvalvular atrial fibrillation	27091686:had
Ingredient134	indole	Disease32546	Uncaria rhynchophylla	27094112:found
Ingredient7	adenosine	Disease8083	CHD	27096864:null
Ingredient108	glucose	Disease26247	OGD	27098434:null
Ingredient19	arginine	Disease26016	NSAID	27105159:determine
Ingredient19	arginine	Disease3960	attenuates cardiac injury	27107944:null
Ingredient19	Arginine	Disease15004	heart failure	27107944:exert
Ingredient108	glucose	Disease26247	OGD	27107944:null
Ingredient108	glucose	Disease27661	porcineB-cellleukemia/lymphoma-2	27108052:regulated
Ingredient108	glucose	Disease14481	glucose handling	27112340:null
Ingredient92	estradiol	Disease26247	OGD	27113328:attenuated
Ingredient108	glucose	Disease19848	ischemia	27113328:null
Ingredient108	glucose	Disease26247	OGD	27113328:null
Ingredient109	glutamate	Disease14531	GM	27114061:null
Ingredient55	cholesterol	Disease11740	dyslipidemias	27117865:null
Ingredient55	cholesterol	Disease3307	atherothrombotic cerebral infarction	27117865:null
Ingredient55	cholesterol	Disease25599	non-alcoholic fatty liver disease	27117865:null
Ingredient55	cholesterol	Disease24098	NAFLD	27117865:null
Ingredient19	arginine	Disease25	stroke	27126918:isolated
Ingredient19	arginine	Disease16888	hypertensive rats and congenic SHRpch1_	27126918:isolated
Ingredient19	Arginine	Disease5326	brain injury	27126918:induces
Ingredient92	estradiol	Disease20467	ischemic stroke	27127723:null
Ingredient92	estradiol	Disease25	stroke	27127723:null
Ingredient92	estradiol	Disease7311	cerebral ischemic	27127723:null
Ingredient92	Estradiol	Disease20467	ischemic stroke	27127723:shown
Ingredient92	Estradiol	Disease25	stroke	27127723:shown
Ingredient57	choline	Disease25	stroke	27128860:null
