Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Ingredient82	dopamine	Pathway16431	SNS	27059792:null
Ingredient108	glucose	Pathway806	albumin	27077324:higher
Ingredient108	glucose	Pathway8493	HUT1	27077324:prominent
Ingredient108	glucose	Pathway8494	HUT3	27077324:prominent
Ingredient150	levodopa	Pathway8494	HUT3	27077324:null
Ingredient55	cholesterol	Pathway7503	HDL	27079881:null
Ingredient251	Trans-cinnamaldehyde	Pathway17111	TCA	27087648:null
Ingredient7	adenosine	Pathway318	ABCA1	27096864:null
Ingredient7	adenosine	Pathway3574	CHD	27096864:null
Ingredient7	adenosine	Pathway9270	IS	27096864:null
Ingredient7	adenosine	Pathway3134	cassette transporter A1 genes	27096864:null
Ingredient7	adenosine	Pathway3663	chromosome 9p21	27096864:null
Ingredient250	thymine	Pathway4016	connexin 32	27098243:null
Ingredient250	thymine	Pathway4017	connexin 32 allele	27098243:null
Ingredient250	thymine	Pathway6756	GJB1 gene	27098243:null
Ingredient5	acetylcholine	Pathway16441	SOCS3	27106041:null
Ingredient5	acetylcholine	Pathway1138	Ang II	27106041:null
Ingredient57	choline	Pathway16441	SOCS3	27106041:null
Ingredient57	choline	Pathway1138	Ang II	27106041:null
Ingredient19	arginine	Pathway18343	vasopressin	27107944:null
Ingredient19	Arginine	Pathway18343	vasopressin	27107944:null
Ingredient19	Arginine	Pathway1841	Arginine vasopressin	27107944:null
Ingredient19	Arginine	Pathway2085	AVP	27107944:null
Ingredient108	glucose	Pathway2085	AVP	27107944:caused
Ingredient70	cyanin	Pathway1364	anthocyanin	27108310:null
Ingredient259	tyrosine	Pathway14589	PTPN22	27110387:null
Ingredient259	tyrosine	Pathway10126	lymphoid protein tyrosine phosphatase	27110387:null
Ingredient259	tyrosine	Pathway10132	Lyp	27110387:expressed
Ingredient259	tyrosine	Pathway7894	HLA	27110387:expressed
Ingredient92	estradiol	Pathway2556	bovine serum albumin	27113328:attenuated
Ingredient92	estradiol	Pathway2556	bovine serum albumin	27113328:null
Ingredient108	glucose	Pathway7076	GPER1	27113328:null
Ingredient259	Tyrosine	Pathway12300	Notch	27115169:null
Ingredient259	Tyrosine	Pathway12300	Notch	27115169:activates
Ingredient259	Tyrosine	Pathway18654	Wnt	27115169:null
Ingredient259	Tyrosine	Pathway13557	PI3K	27115169:null
Ingredient259	Tyrosine	Pathway16496	Sonic Hedgehog	27115169:null
Ingredient259	Tyrosine	Pathway14876	Receptor Tyrosine Kinases	27115169:null
Ingredient259	Tyrosine	Pathway15497	RTKs	27115169:null
Ingredient259	Tyrosine	Pathway9343	JAK	27115169:null
Ingredient259	Tyrosine	Pathway16707	STAT	27115169:null
Ingredient55	cholesterol	Pathway8301	human FABP1	27117865:null
Ingredient55	cholesterol	Pathway5830	FABP1 T94A	27117865:null
Ingredient55	cholesterol	Pathway8303	human FABP1 T94A variant	27117865:null
Ingredient55	cholesterol	Pathway9751	LDL cholesterol	27117865:null
Ingredient19	arginine	Pathway1841	arginine vasopressin	27126918:null
Ingredient19	arginine	Pathway7789	high-mobility group box 1	27126918:null
Ingredient19	arginine	Pathway16044	SHR	27126918:isolated
Ingredient19	arginine	Pathway16065	SHRpch1_18 rats	27126918:isolated
Ingredient19	Arginine	Pathway1841	Arginine vasopressin	27126918:null
Ingredient19	Arginine	Pathway2085	AVP	27126918:null
Ingredient92	estradiol	Pathway7075	GPER	27127723:null
Ingredient92	estradiol	Pathway7075	GPER	27127723:able
Ingredient92	Estradiol	Pathway7075	GPER	27127723:reduce
Ingredient108	glucose	Pathway6797	GLP-1 release	27129676:null
Ingredient130	hyperin	Pathway6797	GLP-1 release	27129676:null
Ingredient108	glucose	Pathway12456	Nrf2	27143001:null
Ingredient220	Resveratrol	Pathway2810	CA1	27143440:protects
Ingredient220	Resveratrol	Pathway5618	ERK	27143440:protects
Ingredient220	Resveratrol	Pathway4127	CREB	27143440:protects
Ingredient108	glucose	Pathway11784	NDRG2	27154863:null
Ingredient141	isorhamnetin	Pathway3092	caspase-3	27161367:reduced
Ingredient141	isorhamnetin	Pathway12596	occludin	27161367:upregulated
Ingredient141	isorhamnetin	Pathway18822	ZO-1	27161367:upregulated
Ingredient141	isorhamnetin	Pathway9003	iNOS	27161367:suppressed
Ingredient141	isorhamnetin	Pathway12227	NO	27161367:suppressed
Ingredient141	isorhamnetin	Pathway10438	MDA	27161367:led
Ingredient141	isorhamnetin	Pathway11211	MPO	27161367:suppressed
Ingredient141	isorhamnetin	Pathway8879	IL-6	27161367:suppressed
Ingredient141	isorhamnetin	Pathway10438	MDA	27161367:reduced
Ingredient141	isorhamnetin	Pathway12198	NMDA receptor subunit NR1	27161367:reduced
Ingredient141	Isorhamnetin	Pathway9302	Isorhamnetin	27161367:null
Ingredient222	rhamnetin	Pathway9302	Isorhamnetin	27161367:null
Ingredient222	rhamnetin	Pathway3092	caspase-3	27161367:reduced
Ingredient222	rhamnetin	Pathway12596	occludin	27161367:upregulated
Ingredient222	rhamnetin	Pathway18822	ZO-1	27161367:upregulated
Ingredient222	rhamnetin	Pathway9003	iNOS	27161367:suppressed
Ingredient222	rhamnetin	Pathway12227	NO	27161367:suppressed
Ingredient222	rhamnetin	Pathway10438	MDA	27161367:led
Ingredient222	rhamnetin	Pathway11211	MPO	27161367:suppressed
Ingredient222	rhamnetin	Pathway8879	IL-6	27161367:suppressed
Ingredient222	rhamnetin	Pathway10438	MDA	27161367:reduced
Ingredient222	rhamnetin	Pathway12198	NMDA receptor subunit NR1	27161367:reduced
Ingredient55	cholesterol	Pathway4167	CRP	27166776:null
Ingredient55	cholesterol	Pathway8065	hs	27166776:null
Ingredient108	glucose	Pathway16096	SHSY5Y	27171848:null
Ingredient173	myricetin	Pathway16096	SHSY5Y	27171848:attenuated
Ingredient173	myricetin	Pathway12456	Nrf2	27171848:reversed
Ingredient173	myricetin	Pathway7968	HO-1	27171848:increased
Ingredient173	myricetin	Pathway12456	Nrf2	27171848:attenuates
Ingredient173	Myricetin	Pathway12456	Nrf2	27171848:ameliorates
Ingredient229	serine	Pathway2843	CADASIL	27174004:null
Ingredient229	serine	Pathway12303	Notch 3	27174004:null
Ingredient229	serine	Pathway12300	Notch	27174004:null
Ingredient229	serine	Pathway2763	C455R CADASIL	27174004:null
Ingredient229	serine	Pathway15053	requirement A serine peptidase 1	27174004:null
Ingredient229	serine	Pathway8184	HTRA1	27174004:null
Ingredient7	adenosine	Pathway6963	glycogen synthase kinase	27177932:null
Ingredient7	adenosine	Pathway14406	protein phosphatase 2A	27177932:null
Ingredient7	adenosine	Pathway17061	tau	27177932:null
Ingredient7	Adenosine	Pathway6963	Glycogen Synthase Kinase	27177932:null
Ingredient7	Adenosine	Pathway7249	GSK	27177932:null
Ingredient7	Adenosine	Pathway14406	Protein Phosphatase 2A	27177932:null
Ingredient7	Adenosine	Pathway14084	PP2A	27177932:null
Ingredient7	Adenosine	Pathway620	Adenosine Monophosphate Kinase	27177932:null
Ingredient7	Adenosine	Pathway1099	AMPK	27177932:null
Ingredient7	Adenosine	Pathway17061	tau	27177932:null
Ingredient7	Adenosine	Pathway17061	tau	27177932:involved
Ingredient55	cholesterol	Pathway9764	LDL-C	27180022:null
Ingredient55	cholesterol	Pathway9751	LDL cholesterol	27180022:null
Ingredient109	glutamate	Pathway6904	glutamate release	27188341:null
Ingredient109	glutamate	Pathway12203	NMDA receptors	27188341:activates
Ingredient109	glutamate	Pathway9486	KCC2	27188341:activates
Ingredient229	serine	Pathway503	Activated protein C	27207428:null
Ingredient229	serine	Pathway1516	APC	27207428:null
Ingredient108	glucose	Pathway16789	streptozotocin	27207546:null
Ingredient108	glucose	Pathway7673	HFD	27207546:null
Ingredient108	glucose	Pathway16817	STZ	27207546:null
Ingredient108	glucose	Pathway17506	TNF	27207546:null
Ingredient130	hyperin	Pathway8521	hyperinsulinemia	27234258:null
Ingredient259	tyrosine	Pathway12284	NOS1AP	27237129:null
Ingredient259	tyrosine	Pathway14551	PTB	27237129:null
Ingredient259	tyrosine	Pathway13531	phosphotyrosine-binding	27237129:null
Ingredient259	tyrosine	Pathway12283	NOS1	27237129:null
Ingredient7	adenosine	Pathway13613	PKA	27250857:null
Ingredient7	adenosine	Pathway11976	NF	27250857:null
Ingredient7	adenosine	Pathway9483	kB	27250857:null
Ingredient108	glucose	Pathway15607	SAB	27255374:used
Ingredient55	cholesterol	Pathway9764	LDL-C	27262705:null
Ingredient55	cholesterol	Pathway9994	low-density lipoprotein cholesterol	27262705:null
Ingredient55	cholesterol	Pathway7513	HDL-C	27262705:null
Ingredient7	adenosine	Pathway14475	PRP	27263955:null
Ingredient7	adenosine	Pathway3385	CD42b	27263955:null
Ingredient7	adenosine	Pathway3384	CD41a	27263955:null
Ingredient7	adenosine	Pathway3406	CD61	27263955:null
Ingredient7	adenosine	Pathway3408	CD62P	27263955:null
Ingredient7	adenosine	Pathway6045	fibrinogen	27263955:null
Ingredient7	adenosine	Pathway3383	CD41	27263955:null
Ingredient39	biotin	Pathway17187	terminal deoxynucleotidyl transferase	27288768:utilized
Ingredient224	ribose	Pathway15271	RPC	27288768:null
Ingredient224	ribose	Pathway13061	PAR	27288768:null
Ingredient224	ribose	Pathway13061	PAR	27288768:inducing
Ingredient224	ribose	Pathway762	AIF	27288768:inducing
Ingredient224	ribose	Pathway7863	histone H2AX	27288768:inducing
Ingredient224	ribose	Pathway7343	H2AX	27288768:inducing
Ingredient224	ribose	Pathway13997	poly(ADP-ribose) polymer	27288768:null
Ingredient224	ribose	Pathway1728	apoptosis inducing factor	27288768:null
Ingredient55	cholesterol	Pathway9768	LDL-cholesterol	27312021:null
Ingredient55	cholesterol	Pathway9764	LDL-C	27312021:null
Ingredient92	estradiol	Pathway9864	lifespan	27312235:extended
Ingredient7	adenosine	Pathway11940	neurotensin	27320243:null
Ingredient7	adenosine	Pathway17871	TRPV1	27320243:null
Ingredient82	dopamine	Pathway11940	neurotensin	27320243:null
Ingredient82	dopamine	Pathway17871	TRPV1	27320243:null
Ingredient95	Fisetin	Pathway16170	SIRT1	27334466:demonstrated
Ingredient95	Fisetin	Pathway6104	Fisetin	27334466:null
Ingredient95	Fisetin	Pathway16169	SIRT	27334466:demonstrated
Ingredient213	Quercetin	Pathway16170	SIRT1	27334466:demonstrated
Ingredient213	Quercetin	Pathway6104	Fisetin	27334466:null
Ingredient213	Quercetin	Pathway16169	SIRT	27334466:demonstrated
Ingredient220	Resveratrol	Pathway16170	SIRT1	27334466:demonstrated
Ingredient220	Resveratrol	Pathway6104	Fisetin	27334466:null
Ingredient220	Resveratrol	Pathway16169	SIRT	27334466:demonstrated
