Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Drug518	enalapril	Symptom277	heart failure	176015:null
Drug518	enalapril	Symptom277	heart failure	25176015:had
Drug518	enalapril	Symptom277	heart failure	25176015:null
Drug518	enalapril	Symptom277	heart failure	25176015:decreased
Drug518	enalapril	Symptom277	heart failure	25176015:reduced
Drug518	enalapril	Symptom204	edema	25176015:null
Drug518	enalapril	Symptom144	cough	25176015:null
Drug518	enalapril	Symptom329	hypotension	25176015:null
Drug518	enalapril	Symptom277	heart failure	25176015:superior
Drug756	hydroxyurea	Symptom177	disease	25203083:null
Drug756	Hydroxyurea	Symptom27	anemia	25203083:recommended
Drug756	Hydroxyurea	Symptom123	chronic anemia	25203083:recommended
Drug756	Hydroxyurea	Symptom486	pain	25203083:recommended
Drug805	iron	Symptom351	iron overload	25203083:null
Drug1172	phenol	Symptom504	peripheral	25200574:null
Drug91	amiodarone	Symptom67	bleeding	24722973:Bleeding
Drug91	amiodarone	Symptom67	Bleeding	24722973:discriminate
Drug91	amiodarone	Symptom67	bleeding	24722973:discriminate
Drug91	amiodarone	Symptom631	stroke	24722973:discriminate
Drug1233	Pregabalin	Symptom36	anxiety	25112542:improve
Drug1233	Pregabalin	Symptom607	sleep disturbances	25112542:improve
Drug1233	Pregabalin	Symptom486	pain	25112542:improve
Drug639	Fluvoxamine	Symptom238	Flu	25112542:null
Drug967	mexiletine	Symptom238	Flu	25112542:null
Drug239	calcium	Symptom631	stroke	24809834:null
Drug452	digoxin	Symptom631	stroke	24809834:null
Drug1598	warfarin	Symptom631	stroke	24809834:null
Drug377	dabigatran	Symptom50	atrial fibrillation	25194766:changed
Drug377	dabigatran	Symptom631	stroke	25194766:changed
Drug377	dabigatran	Symptom466	OA	25194766:null
Drug1329	rivaroxaban	Symptom50	atrial fibrillation	25194766:changed
Drug1329	rivaroxaban	Symptom631	stroke	25194766:changed
Drug1329	rivaroxaban	Symptom466	OA	25194766:null
Drug120	apixaban	Symptom50	atrial fibrillation	25194766:changed
Drug120	apixaban	Symptom631	stroke	25194766:changed
Drug120	apixaban	Symptom466	OA	25194766:null
Drug298	cholesterol	Symptom177	disease	25091271:null
Drug155	ATP	Symptom385	localized	25225473:null
Drug155	ATP	Symptom340	injury	25225473:null
Drug1162	PGE2	Symptom385	localized	25225473:null
Drug1162	PGE2	Symptom340	injury	25225473:null
Drug32	adenosine triphosphate	Symptom385	localized	25225473:null
Drug32	adenosine triphosphate	Symptom340	injury	25225473:null
Drug1554	uric acid	Symptom631	stroke	24214336:proportional
Drug1554	uric acid	Symptom277	heart failure	24214336:play
Drug1554	uric acid	Symptom631	stroke	24214336:null
Drug1554	uric acid	Symptom264	gout	24214336:null
Drug1554	uric acid	Symptom277	heart failure	24214336:null
Drug1599	xanthine	Symptom277	heart failure	24214336:play
Drug728	hesperetin	Symptom356	itching	24825758:showed
Drug728	hesperetin	Symptom355	itch	24825758:showed
Drug1183	phosphate	Symptom204	edema	25001113:null
Drug155	ATP	Symptom204	edema	25001113:null
Drug353	creatine	Symptom204	edema	25001113:null
Drug298	cholesterol	Symptom631	stroke	24979302:null
Drug298	cholesterol	Symptom631	stroke	24979302:reduce
Drug56	alcohol	Symptom191	dull	25145891:due
Drug56	alcohol	Symptom17	alcohol abuse	25145891:null
Drug56	alcohol	Symptom49	ataxia	25145891:null
Drug56	alcohol	Symptom465	nystagmus	25145891:null
Drug1329	Rivaroxaban	Symptom631	stroke	25040104:null
Drug1598	warfarin	Symptom67	bleeding	25278980:effective
Drug1598	warfarin	Symptom631	stroke	25278980:effective
Drug1598	warfarin	Symptom466	OA	25278980:effective
Drug56	alcohol	Symptom631	Stroke	25278980:null
Drug56	alcohol	Symptom67	Bleeding	25278980:null
Drug56	alcohol	Symptom67	bleeding	25278980:null
Drug56	alcohol	Symptom631	stroke	25278980:null
Drug146	aspirin	Symptom67	bleeding	25278980:null
Drug1329	rivaroxaban	Symptom67	bleeding	25074401:null
Drug1329	rivaroxaban	Symptom116	chest pain	25074401:presented
Drug1329	rivaroxaban	Symptom486	pain	25074401:presented
Drug1329	rivaroxaban	Symptom50	atrial fibrillation	25074401:null
Drug1329	Rivaroxaban	Symptom631	stroke	25074401:anticoagulant
Drug1329	Rivaroxaban	Symptom50	atrial fibrillation	25074401:anticoagulant
Drug1598	warfarin	Symptom466	OA	25085900:null
Drug377	dabigatran	Symptom466	OA	25085900:null
Drug1329	rivaroxaban	Symptom466	OA	25085900:null
Drug120	apixaban	Symptom466	OA	25085900:null
Drug120	apixaban	Symptom466	OA	25012514:null
Drug377	dabigatran	Symptom466	OA	25012514:null
Drug1329	rivaroxaban	Symptom466	OA	25012514:null
Drug295	chlortalidone	Symptom631	stroke	25325125:superior
Drug295	chlortalidone	Symptom177	disease	25325125:chlortalidone;
Drug239	calcium	Symptom631	stroke	25325125:effective
Drug239	calcium	Symptom277	heart failure	25325125:superior
Drug95	amlodipine	Symptom277	heart failure	25325125:superior
Drug878	lisinopril	Symptom631	stroke	25325125:preventing
Drug1329	rivaroxaban	Symptom295	hemorrhage	25082810:null
Drug1329	rivaroxaban	Symptom67	bleeding	25082810:null
Drug1329	rivaroxaban	Symptom631	stroke	25082810:null
Drug1329	rivaroxaban	Symptom221	etec	25082810:null
Drug1329	rivaroxaban	Symptom286	Hematoma	25082810:null
Drug1329	rivaroxaban	Symptom286	hematoma	25082810:had
Drug1598	warfarin	Symptom295	hemorrhage	25082810:null
Drug1598	warfarin	Symptom221	etec	25082810:null
Drug1598	warfarin	Symptom286	Hematoma	25082810:smaller
Drug56	alcohol	Symptom67	bleeding	25082810:null
Drug56	alcohol	Symptom631	stroke	25082810:null
Drug1329	Rivaroxaban	Symptom67	bleeding	25082810:occurs
Drug146	aspirin	Symptom648	TB	24965906:caused
Drug15	acetylcholine	Symptom648	TB	24965906:null
Drug700	glutathione	Symptom648	TB	24965906:null
Drug715	GSH	Symptom648	TB	24965906:null
Drug239	calcium	Symptom631	stroke	25023112:null
Drug146	aspirin	Symptom177	disease	25781297:null
Drug146	aspirin	Symptom631	stroke	25781297:increase
Drug146	aspirin	Symptom177	disease	25532393:(alprostadil)
Drug146	aspirin	Symptom177	disease	25532393:null
Drug146	aspirin	Symptom276	heart disease	25532393:null
Drug146	aspirin	Symptom164	diabetes	25532393:null
Drug331	clopidogrel	Symptom177	disease	25532393:(alprostadil)
Drug331	clopidogrel	Symptom177	disease	25532393:null
Drug331	clopidogrel	Symptom276	heart disease	25532393:null
Drug331	clopidogrel	Symptom164	diabetes	25532393:null
Drug153	atorvastatin	Symptom177	disease	25532393:(alprostadil)
Drug153	atorvastatin	Symptom177	disease	25532393:null
Drug153	atorvastatin	Symptom276	heart disease	25532393:null
Drug153	atorvastatin	Symptom164	diabetes	25532393:null
Drug1236	probucol	Symptom177	disease	25532393:(alprostadil)
Drug1236	probucol	Symptom177	disease	25532393:null
Drug1236	probucol	Symptom276	heart disease	25532393:null
Drug1236	probucol	Symptom164	diabetes	25532393:null
Drug239	calcium	Symptom177	disease	25532393:(alprostadil)
Drug239	calcium	Symptom177	disease	25532393:null
Drug239	calcium	Symptom276	heart disease	25532393:null
Drug239	calcium	Symptom164	diabetes	25532393:null
Drug73	alprostadil	Symptom177	disease	25532393:null
Drug73	alprostadil	Symptom276	heart disease	25532393:null
Drug73	alprostadil	Symptom164	diabetes	25532393:null
Drug1047	nifedipine	Symptom177	disease	25532393:null
Drug1047	nifedipine	Symptom276	heart disease	25532393:null
Drug1047	nifedipine	Symptom164	diabetes	25532393:null
Drug962	metoprolol	Symptom177	disease	25532393:null
Drug962	metoprolol	Symptom276	heart disease	25532393:null
Drug962	metoprolol	Symptom164	diabetes	25532393:null
Drug818	isosorbide dinitrate	Symptom177	disease	25532393:null
Drug818	isosorbide dinitrate	Symptom276	heart disease	25532393:null
Drug818	isosorbide dinitrate	Symptom164	diabetes	25532393:null
Drug71	alprazolam	Symptom341	insomnia	25532388:concerned
Drug71	alprazolam	Symptom341	insomnia	25532388:null
Drug1081	olanzapine	Symptom341	insomnia	25532388:null
Drug1081	olanzapine	Symptom341	insomnia	25532388:worth
Drug482	dopamine	Symptom631	stroke	25178113:involved
Drug960	metoclopramide	Symptom587	seizure	25152323:provoke
Drug960	metoclopramide	Symptom588	seizures	25152323:provoke
Drug1473	theophylline	Symptom587	seizure	25152323:combined
Drug1473	theophylline	Symptom588	seizures	25152323:combined
Drug1473	Theophylline	Symptom81	bradycardia	25152323:administered
Drug1552	urea	Symptom280	heat stroke	25145441:measured
Drug1552	urea	Symptom280	heat stroke	25145441:null
Drug1552	urea	Symptom631	stroke	25145441:measured
Drug1552	urea	Symptom679	tumor	25145441:null
Drug1552	urea	Symptom631	stroke	25145441:null
Drug146	aspirin	Symptom720	withdrawal	25141121:null
Drug146	aspirin	Symptom421	MS	25141121:null
Drug146	aspirin	Symptom188	drug withdrawal	25141121:recovered
Drug331	clopidogrel	Symptom720	withdrawal	25141121:null
Drug331	clopidogrel	Symptom421	MS	25141121:null
Drug331	clopidogrel	Symptom720	withdrawal	25141121:led
Drug146	Aspirin	Symptom67	bleeding	25141121:null
Drug146	Aspirin	Symptom720	withdrawal	25141121:null
Drug57	aldosterone	Symptom631	stroke	24703417:null
Drug1055	nitric oxide	Symptom631	stroke	24703417:null
Drug1598	warfarin	Symptom50	atrial fibrillation	25332806:null
Drug1598	warfarin	Symptom466	OA	25332806:null
Drug1598	warfarin	Symptom631	stroke	25332806:associated
Drug1598	warfarin	Symptom466	OA	25332806:associated
Drug1598	warfarin	Symptom67	bleeding	25332806:null
Drug1598	warfarin	Symptom256	gastrointestinal bleeding	25332806:null
Drug1598	warfarin	Symptom631	stroke	25332806:null
Drug1329	rivaroxaban	Symptom50	atrial fibrillation	25332806:null
Drug1329	rivaroxaban	Symptom466	OA	25332806:null
Drug1329	rivaroxaban	Symptom631	stroke	25332806:shown
Drug1329	rivaroxaban	Symptom50	atrial fibrillation	25332806:shown
Drug120	apixaban	Symptom50	atrial fibrillation	25332806:null
Drug120	apixaban	Symptom466	OA	25332806:null
Drug120	Apixaban	Symptom631	stroke	25332806:shown
Drug120	Apixaban	Symptom50	atrial fibrillation	25332806:shown
Drug682	Ginkgo biloba	Symptom631	stroke	25093322:efficient
Drug1333	rofecoxib	Symptom551	RA	23749610:associated
Drug444	diclofenac	Symptom551	RA	23749610:associated
Drug1598	warfarin	Symptom50	atrial fibrillation	25276617:null
Drug1598	warfarin	Symptom631	stroke	25276617:null
Drug1598	warfarin	Symptom466	OA	25276617:null
Drug560	etanercept	Symptom631	stroke	24861337:null
Drug560	etanercept	Symptom129	cognitive impairment	24861337:reporting
Drug560	etanercept	Symptom631	stroke	24861337:reporting
Drug560	etanercept	Symptom486	pain	24861337:null
Drug357	CsA	Symptom631	stroke	25056698:promoting
Drug357	CsA	Symptom631	stroke	25056698:promotes
Drug298	cholesterol	Symptom177	disease	24136399:null
Drug298	cholesterol	Symptom631	stroke	24136399:null
Drug298	cholesterol	Symptom276	heart disease	24136399:null
Drug1055	Nitric Oxide	Symptom631	Stroke	25043647:null
Drug704	glyceryl trinitrate	Symptom631	stroke	25043647:given
Drug704	glyceryl trinitrate	Symptom631	stroke	25043647:stopping
Drug1055	nitric oxide	Symptom631	stroke	25043647:given
Drug1055	nitric oxide	Symptom631	stroke	25043647:stopping
Drug1294	ran	Symptom631	stroke	25043647:given
Drug1294	ran	Symptom631	stroke	25043647:stopping
Drug628	fluoxetine	Symptom162	depression	24221642:improved
Drug628	fluoxetine	Symptom631	stroke	24221642:improved
Drug331	clopidogrel	Symptom631	stroke	24739593:null
Drug331	clopidogrel	Symptom417	mono	24739593:null
