Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Drug71	Alprazolam	Disease25	Stroke	31231259:null
Drug71	alprazolam	Disease1497	ALP	31231259:null
Drug71	alprazolam	Disease25	stroke	31231259:combined
Drug146	Aspirin	Disease25915	Non-Valvular Atrial Fibrillation	26919833:null
Drug146	Aspirin	Disease20467	ischemic stroke	26919833:displayed
Drug146	Aspirin	Disease25	stroke	26919833:displayed
Drug1598	Warfarin	Disease25915	Non-Valvular Atrial Fibrillation	26919833:null
Drug825	K	Disease25915	Non-Valvular Atrial Fibrillation	26919833:null
Drug825	K	Disease25914	nonvalvular atrial fibrillation	26919833:null
Drug825	K	Disease31604	thromboembolism	26919833:are
Drug146	aspirin	Disease25914	nonvalvular atrial fibrillation	26919833:(over
Drug146	aspirin	Disease31604	thromboembolism	26919833:(over
Drug146	aspirin	Disease20467	ischemic stroke	26919833:provide
Drug146	aspirin	Disease25	stroke	26919833:provide
Drug1598	warfarin	Disease25914	nonvalvular atrial fibrillation	26919833:(over
Drug1598	warfarin	Disease31604	thromboembolism	26919833:(over
Drug1598	warfarin	Disease20467	ischemic stroke	26919833:displayed
Drug1598	warfarin	Disease25	stroke	26919833:displayed
Drug1598	warfarin	Disease20467	ischemic stroke	26919833:null
Drug1598	warfarin	Disease25	stroke	26919833:null
Drug933	met	Disease25	stroke	30271571:null
Drug933	met	Disease25	stroke	30271571:comparing
Drug298	cholesterol	Disease22553	MD	28912713:null
Drug1039	ng	Disease20467	ischemic stroke	27868379:developed
Drug1039	ng	Disease25	stroke	27868379:developed
Drug682	Ginkgo biloba	Disease22553	MD	27015174:null
Drug682	Ginkgo biloba	Disease22553	MD	27015174:reduced
Drug682	Ginkgo Biloba	Disease1800	angina pectoris	25749902:null
Drug682	Ginkgo Biloba	Disease1800	angina pectoris	25749902:have
Drug1557	urokinase	Disease905	acute myocardial infarction	24525155:null
Drug1107	PA	Disease905	acute myocardial infarction	24525155:null
Drug146	aspirin	Disease20467	ischemic stroke	21094030:null
Drug146	aspirin	Disease25	stroke	21094030:null
Drug146	aspirin	Disease24813	neurological deficit	21094030:(increased
Drug146	aspirin	Disease24813	neurological deficit	21094030:null
Drug146	aspirin	Disease20467	ischemic stroke	21094030:effective
Drug146	aspirin	Disease25	stroke	21094030:effective
Drug120	apixaban	Disease3424	atrial fibrillation	31747786:null
Drug120	apixaban	Disease25	Stroke	31747786:null
Drug120	apixaban	Disease3424	Atrial Fibrillation	31747786:null
Drug120	apixaban	Disease25	stroke	31747786:null
Drug120	apixaban	Disease26016	NSAID	31747786:appeared
Drug1598	warfarin	Disease3424	atrial fibrillation	31747786:null
Drug1598	warfarin	Disease25	Stroke	31747786:null
Drug1598	warfarin	Disease3424	Atrial Fibrillation	31747786:null
Drug1598	warfarin	Disease25	stroke	31747786:null
Drug1598	warfarin	Disease26016	NSAID	31747786:appeared
Drug120	Apixaban	Disease25	Stroke	31747786:null
Drug120	Apixaban	Disease3424	Atrial Fibrillation	31747786:null
Drug120	Apixaban	Disease3424	atrial fibrillation	31747786:compared
Drug120	Apixaban	Disease25	stroke	31747786:compared
