Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Drug825	K	Pathway1762	APT	30867148:considered
Drug825	K	Pathway18502	VKA	30867148:null
Drug825	K	Pathway1762	APT	30867148:null
Drug825	K	Pathway18502	VKA	30867148:indicated
Drug825	K	Pathway18502	VKA	30867148:uncertain;
Drug1106	p75	Pathway17791	Trk	30863991:null
Drug1106	p75	Pathway12954	p75NTR	30863991:null
Drug1106	p75	Pathway12055	NGF	30863991:null
Drug1106	p75	Pathway17791	Trk	30863991:yield
Drug1106	p75	Pathway6990	GM1	30863991:null
Drug1106	p75	Pathway11827	nerve growth factor	30863991:null
Drug1106	p75	Pathway12055	NGF	30863991:yield
Drug1106	p75	Pathway12952	p75 neurotrophin receptor	30863991:null
Drug1106	p75	Pathway14335	protease furin	30863991:null
Drug1106	p75	Pathway6277	FUR	30863991:null
Drug1106	p75	Pathway17834	tropomyosin kinase receptor	30863991:yield
Drug1106	p75	Pathway6990	GM1	30863991:affect
Drug1106	p75	Pathway9521	Key proteins	30863991:null
Drug1106	p75	Pathway12055	NGF	30863991:associated
Drug1106	p75	Pathway12955	p75NTR proteins	30863991:null
Drug1514	tPA	Pathway17609	tPA	31161761:null
Drug1514	tPA	Pathway17434	Tissue plasminogen activator	31161761:null
Drug1514	tPA	Pathway8602	ICH	31161761:associated
Drug1514	tPA	Pathway10342	matrix metalloproteases	31161761:activates
Drug1514	tPA	Pathway8602	ICH	31161761:null
Drug1514	tPA	Pathway17609	tPA	31161761:increase
Drug792	insulin	Pathway9021	insulin	31161759:null
Drug1565	valsartan	Pathway7682	HFpEF	30420146:null
Drug1565	valsartan	Pathway11825	neprilysin	30420146:represents
Drug1565	valsartan	Pathway1262	angiotensin receptor	30420146:represents
Drug1565	valsartan	Pathway1262	angiotensin receptor	30420146:provides
Drug361	Cyclic AMP	Pathway13613	PKA	30708047:null
Drug361	Cyclic AMP	Pathway4127	CREB	30708047:null
Drug361	Cyclic AMP	Pathway4323	Cyclic AMP response element-binding protein	30708047:null
Drug361	Cyclic AMP	Pathway14371	protein kinase A	30708047:null
Drug825	K	Pathway8605	ICP	30967147:null
Drug825	K	Pathway1794	aquaporins	30967147:null
Drug298	cholesterol	Pathway7513	HDL-C	30693439:null
Drug298	cholesterol	Pathway1658	apolipoprotein A-1	30693439:null
Drug298	cholesterol	Pathway7782	high-density lipoprotein cholesterol	30693439:null
Drug298	cholesterol	Pathway2299	BET	30693439:null
Drug1395	spironolactone	Pathway16726	statins	30693439:null
Drug1514	tPA	Pathway17609	tPA	30656378:null
Drug1514	tPA	Pathway1064	alteplase	30656378:has
Drug1514	tPA	Pathway17173	tenecteplase	30656378:has
Drug1514	tPA	Pathway5332	Endogenous tPA	30656378:null
Drug1514	tPA	Pathway17609	tPA	30656378:induce
Drug1514	tPA	Pathway17609	tPA	30656378:has
Drug1514	tPA	Pathway17609	tPA	30656378:mediates
Drug75	alteplase	Pathway17609	tPA	30656378:null
Drug75	alteplase	Pathway1064	alteplase	30656378:null
Drug75	alteplase	Pathway17173	tenecteplase	30656378:null
Drug1453	tenecteplase	Pathway17609	tPA	30656378:null
Drug1453	tenecteplase	Pathway1064	alteplase	30656378:null
Drug1453	tenecteplase	Pathway17173	tenecteplase	30656378:null
Drug331	clopidogrel	Pathway4540	cytochrome P450	30936195:null
Drug331	clopidogrel	Pathway4463	CYP450	30936195:null
Drug1496	Tirofiban	Pathway6045	fibrinogen	30838514:inhibits
Drug29	Adenosine	Pathway625	Adenosine Receptors	30670479:null
Drug29	Adenosine	Pathway621	Adenosine Prodrug	30670479:null
Drug29	adenosine	Pathway16620	SQAd NPs	30670479:released
Drug29	adenosine	Pathway16620	SQAd NPs	30670479:null
Drug334	CoA	Pathway12390	NPC1 L1	31090302:null
Drug334	CoA	Pathway7938	HMG-CoA reductase	31090302:null
Drug334	CoA	Pathway16622	SQS	31090302:null
Drug334	CoA	Pathway11365	MTP	31090302:null
Drug334	CoA	Pathway3520	CETP	31090302:null
Drug334	CoA	Pathway17024	target NPC1 L1	31090302:null
Drug1196	Pioglitazone	Pathway646	adiponectin	30902059:strengthen
Drug15	acetylcholine	Pathway2569	bradykinin	30887278:null
Drug504	eculizumab	Pathway1395	anti-C5 monoclonal antibody	30886620:null
Drug504	eculizumab	Pathway10192	mAb	30886620:null
Drug696	Glucosamine	Pathway7486	HDAC4	30539420:null
Drug696	glucosamine	Pathway10913	miR-9	30539420:associated
Drug696	glucosamine	Pathway10913	miR-9	30539420:null
Drug696	glucosamine	Pathway2196	BCL2	30539420:null
Drug696	glucosamine	Pathway18382	VEGF	30539420:null
Drug696	glucosamine	Pathway9007	iNOS mRNA	30539420:null
Drug682	Ginkgo biloba	Pathway12766	p	30815818:null
Drug683	ginkgolide A	Pathway6746	ginkgolide K	30815818:null
Drug683	ginkgolide A	Pathway6758	GK	30815818:null
Drug684	ginkgolide B	Pathway6746	ginkgolide K	30815818:null
Drug684	ginkgolide B	Pathway6758	GK	30815818:null
Drug825	K	Pathway6746	ginkgolide K	30815818:null
Drug825	K	Pathway6758	GK	30815818:null
Drug825	K	Pathway781	Akt	30815818:administrated
Drug825	K	Pathway12456	Nrf2	30815818:administrated
Drug825	K	Pathway13015	p-Akt	30815818:administrated
Drug825	K	Pathway10115	LY294002	30815818:null
Drug825	K	Pathway13557	PI3K	30815818:null
Drug825	K	Pathway6758	GK	30815818:had
Drug825	K	Pathway16447	SOD	30815818:had
Drug825	K	Pathway12420	Nqo1	30815818:had
Drug825	K	Pathway7968	HO-1	30815818:had
Drug825	K	Pathway15263	ROS	30815818:had
Drug825	K	Pathway16447	SOD	30815818:null
Drug825	K	Pathway12420	Nqo1	30815818:null
Drug825	K	Pathway7968	HO-1	30815818:null
Drug825	K	Pathway15263	ROS	30815818:null
Drug825	K	Pathway781	Akt	30815818:upregulated
Drug825	K	Pathway12456	Nrf2	30815818:upregulated
Drug825	K	Pathway13015	p-Akt	30815818:upregulated
Drug825	K	Pathway10115	LY294002	30815818:upregulated
Drug1598	warfarin	Pathway4540	cytochrome P450	30689138:null
Drug1598	warfarin	Pathway4385	CYP	30689138:null
Drug1598	warfarin	Pathway4385	CYP	30689138:using
Drug1170	phenobarbital	Pathway4540	cytochrome P450	30689138:null
Drug1170	phenobarbital	Pathway4385	CYP	30689138:null
Drug243	cAMP	Pathway9939	L-NBP	30629983:null
Drug243	cAMP	Pathway5535	epidermal growth factor (EGF) receptor	30629983:null
Drug243	cAMP	Pathway2951	cAMP response element-binding protein	30629983:null
Drug243	cAMP	Pathway4127	CREB	30629983:null
Drug243	cAMP	Pathway5090	E-26-like protein 1	30629983:null
Drug243	cAMP	Pathway5267	ELK-1	30629983:null
Drug243	cAMP	Pathway5217	EGF	30629983:null
Drug1329	rivaroxaban	Pathway5878	Factor Xa	29337837:null
Drug792	insulin	Pathway12576	NXT	30660824:null
Drug792	insulin	Pathway9021	insulin	30660824:null
Drug640	Folate	Pathway6170	Folate Receptor Beta Macrophage	30799840:null
Drug640	Folate	Pathway18323	Vascular Immune Microenvironment in Giant Cell Arteritis	30799840:null
Drug640	Folate	Pathway6247	FRB	30799840:null
Drug640	folate	Pathway6247	FRB	30799840:null
Drug641	folic acid	Pathway6247	FRB	30799840:null
Drug1150	perampanel	Pathway13302	PER	30834194:null
Drug239	calcium	Pathway4828	DHI	30863452:null
Drug239	calcium	Pathway12576	NXT	30863452:null
Drug521	enoxaparin	Pathway13392	P-glycoprotein	30719631:reduced
Drug521	enoxaparin	Pathway13397	P-gp	30719631:reduced
Drug1565	valsartan	Pathway1216	angiotensin converting enzyme	30535931:null
Drug1565	valsartan	Pathway1262	angiotensin receptor	30535931:null
Drug1565	valsartan	Pathway10758	mineralocorticoid receptor	30535931:null
Drug1565	valsartan	Pathway1264	angiotensin receptor blocker neprilysin	30535931:null
Drug324	clodronate	Pathway1819	Arg1	30485549:reduced
Drug324	clodronate	Pathway8577	Iba1	30485549:reduced
Drug482	dopamine	Pathway4930	dopamine D	30626912:null
Drug482	dopamine	Pathway9021	insulin	30626912:null
Drug792	insulin	Pathway4930	dopamine D	30626912:null
Drug792	insulin	Pathway9021	insulin	30626912:null
Drug1209	plasmin	Pathway13787	plasminogen activators and plasmin	31482506:null
Drug331	clopidogrel	Pathway12835	P2Y	30302530:applied
Drug831	ketamine	Pathway16432	SOC	30027605:following
Drug831	ketamine	Pathway16432	SOC	30027605:null
Drug831	ketamine	Pathway16432	SOC	30027605:supports
Drug158	atropine	Pathway16432	SOC	30027605:used
Drug974	midazolam	Pathway16432	SOC	30027605:used
Drug1223	pralidoxime	Pathway16432	SOC	30027605:used
Drug1180	phenylephrine	Pathway1227	angiotensin II	30386989:null
Drug1180	phenylephrine	Pathway1159	AngII	30386989:null
Drug30	adenosine deaminase	Pathway8218	Human adenosine deaminase 2	30565235:null
Drug30	adenosine deaminase	Pathway613	adenosine deaminase	30565235:null
Drug30	adenosine deaminase	Pathway614	adenosine deaminase 2	30565235:null
Drug30	adenosine deaminase	Pathway8217	Human adenosine deaminase 1	30565235:null
Drug30	adenosine deaminase	Pathway613	adenosine deaminase	30565235:attributed
Drug30	adenosine deaminase	Pathway614	adenosine deaminase 2	30565235:attributed
Drug30	adenosine deaminase	Pathway567	ADA2 gene	30565235:null
Drug30	adenosine deaminase	Pathway4706	DADA2	30565235:null
Drug30	adenosine deaminase	Pathway565	ADA2	30565235:null
Drug560	etanercept	Pathway1468	anti-TNF	30565235:null
Drug334	CoA	Pathway16726	statins	31049146:null
Drug334	CoA	Pathway119	3-hydroxy-3-methylglutaryl CoA reductase	31049146:null
Drug334	CoA	Pathway16720	statin	31049146:null
Drug298	cholesterol	Pathway16726	statins	31049146:null
Drug298	cholesterol	Pathway119	3-hydroxy-3-methylglutaryl CoA reductase	31049146:null
Drug298	cholesterol	Pathway16720	statin	31049146:null
Drug298	cholesterol	Pathway9764	LDL-C	31049146:null
Drug298	cholesterol	Pathway9994	low-density lipoprotein cholesterol	31049146:null
Drug687	ginseng	Pathway6748	gintonin	29870296:null
Drug239	calcium	Pathway6748	gintonin	29870296:null
Drug239	calcium	Pathway9043	integrin	29870296:null
Drug1446	tea	Pathway1900	ASL	30484473:null
Drug124	arachidonic acid	Pathway17506	TNF	30484473:play
Drug124	arachidonic acid	Pathway17506	TNF	30484473:null
Drug124	arachidonic acid	Pathway8879	IL-6	30484473:play
Drug124	arachidonic acid	Pathway8835	IL-1B	30484473:play
Drug124	arachidonic acid	Pathway8583	ICAM	30484473:play
Drug124	arachidonic acid	Pathway10289	MAPK	30484473:null
Drug471	DM	Pathway2049	aTRH	30512984:null
Drug1598	Warfarin	Pathway18623	Warfarin	30144015:null
Drug1598	Warfarin	Pathway12272	Non-Vitamin K Oral Anticoagulants	30144015:null
Drug825	K	Pathway18623	Warfarin	30144015:null
Drug825	K	Pathway12272	Non-Vitamin K Oral Anticoagulants	30144015:null
Drug700	glutathione	Pathway7390	HAPL	30273663:null
Drug700	glutathione	Pathway6929	glutathione peroxidase	30273663:null
Drug1366	Shh	Pathway16027	Shh	30267379:null
Drug1366	Shh	Pathway16496	sonic hedgehog	30267379:null
Drug700	glutathione	Pathway6947	glutathione S-transferases	29908890:null
Drug700	Glutathione	Pathway6936	Glutathione S-tranferases	29908890:null
Drug700	Glutathione	Pathway7285	GSTs	29908890:null
Drug700	Glutathione	Pathway7267	GST	29908890:null
Drug1219	potassium	Pathway9493	KCNH3	30462746:null
Drug239	calcium	Pathway1262	angiotensin receptor	30354828:blocker
Drug239	calcium	Pathway15118	RH	30354828:null
Drug296	chlorthalidone	Pathway15118	RH	30354828:null
Drug296	chlorthalidone	Pathway10758	mineralocorticoid receptor	30354828:null
Drug783	indapamide	Pathway15118	RH	30354828:null
Drug783	indapamide	Pathway10758	mineralocorticoid receptor	30354828:null
Drug1395	spironolactone	Pathway15118	RH	30354828:null
Drug1395	spironolactone	Pathway10758	mineralocorticoid receptor	30354828:null
Drug532	eplerenone	Pathway15118	RH	30354828:null
Drug532	eplerenone	Pathway10758	mineralocorticoid receptor	30354828:null
Drug641	folic acid	Pathway13418	PHD2	29542054:emerged
Drug641	folic acid	Pathway6088	FIH	29542054:emerged
Drug641	folic acid	Pathway14616	pVHL	29542054:emerged
Drug641	folic acid	Pathway5824	FA	29542054:null
Drug155	ATP	Pathway2041	ATP-binding cassette (ABC) transporters	30340346:null
Drug343	collagenase	Pathway3953	collagenase	30096131:null
Drug691	glibenclamide	Pathway16874	SUR1 receptor	30637228:inhibits
Drug331	clopidogrel	Pathway4545	cytochrome P450 2C19	29804887:null
Drug148	asymmetric dimethylarginine	Pathway4845	dimethylarginine dimethylaminohydrolase	29804887:null
Drug1055	nitric oxide	Pathway4845	dimethylarginine dimethylaminohydrolase	29804887:null
