Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Symptom438	Myoclonus	Chemical13339	T9176G	24708131:null
Symptom235	Fever	Chemical7466	hydrocortisone	27956075:null
Symptom235	Fever	Chemical4956	dexamethasone N6-(1-iminoethyl)-l-lysine	27956075:null
Symptom235	Fever	Chemical5098	diclofenac	27956075:null
Symptom235	Fever	Chemical13926	tolfenamic acid	27956075:null
Symptom235	Fever	Chemical2416	apicidin	27956075:null
Symptom235	Fever	Chemical13381	Tanacetum parthenium	27956075:null
Symptom235	Fever	Chemical7038	Green Tea	27956075:null
Symptom235	Fever	Chemical12120	quercetin	27956075:null
Symptom235	Fever	Chemical3536	cardamonin	27956075:null
Symptom235	Fever	Chemical4442	curcumin	27956075:null
Symptom273	headache	Chemical14130	triptans	31690261:null
Symptom273	headache	Chemical6863	glucose	31536181:(e;g;
Symptom273	headache	Chemical10614	oxygen	31536181:(e;g;
Symptom273	headache	Chemical4131	CM-MOH	31198478:null
Symptom273	headache	Chemical8658	MA	31357200:null
Symptom273	headache	Chemical2623	aspirin	30185396:null
Symptom273	headache	Chemical5275	dipyridamole	30185396:null
Symptom273	headache	Chemical907	4-FA	29737425:null
Symptom273	headache	Chemical10580	oxcarbazepine	29858439:null
Symptom273	headache	Chemical13354	tacrolimus	29198694:trigger
Symptom273	headache	Chemical1789	ADR	29493141:mild
Symptom273	headache	Chemical10467	Onabotulinumtoxin A	29230190:attempted
Symptom273	headache	Chemical7678	indomethacin	29230190:null
Symptom273	headache	Chemical11981	PTN	27153360:null
Symptom273	headache	Chemical2194	amitriptyline	27788026:null
Symptom273	headache	Chemical13941	topiramate	27788026:null
Symptom273	headache	Chemical2242	AMPP	27861837:null
Symptom273	headache	Chemical7267	heparin	27816347:null
Symptom273	headache	Chemical3360	Caffeine	26677204:null
Symptom273	headache	Chemical4400	CSH	26654310:null
Symptom273	headache	Chemical8724	mannitol	26654310:relieved
Symptom273	headache	Chemical4955	dexamethasone	26654310:relieved
Symptom273	headache	Chemical13526	TCZ	25697557:null
Symptom273	headache	Chemical5275	Dipyridamole	25040015:null
Symptom273	headache	Chemical5275	dipyridamole	25040015:null
Symptom273	headache	Chemical5428	DP	25040015:null
Symptom273	headache	Chemical2623	aspirin	25040015:null
Symptom273	headache	Chemical2576	ASA	25040015:null
Symptom273	headache	Chemical5428	DP	25040015:(HR
Symptom273	headache	Chemical2420	apixaban	23451769:null
Symptom273	headache	Chemical4222	contraceptives	24456509:null
Symptom273	headache	Chemical11787	progestin	24456509:has
Symptom273	headache	Chemical4925	desogestrel 75μg	24456509:has
Symptom273	headache	Chemical8658	MA	24456509:has
Symptom273	headache	Chemical9220	MO	24456509:has
Symptom273	headache	Chemical4220	contraception	23432442:null
Symptom273	headache	Chemical5913	estrogen	23432442:identifies
Symptom273	headache	Chemical4222	contraceptives	23432442:identifies
Symptom273	headache	Chemical5913	estrogen	23432442:null
Symptom273	headache	Chemical4222	contraceptives	23432442:associated
Symptom273	headache	Chemical10515	oral contraceptive	24501870:null
Symptom273	headache	Chemical5993	ethynil estradiol	24501870:null
Symptom273	headache	Chemical6757	gestodene	24501870:null
Symptom273	headache	Chemical3384	calcium	22995694:null
Symptom273	headache	Chemical9890	nimodipine	22995694:null
Symptom273	headache	Chemical3645	CCB	22354262:opposite
Symptom273	headache	Chemical7855	isotretinoin	20000864:null
Symptom273	headache	Chemical5913	estrogen	19835714:avoid
Symptom273	headache	Chemical11072	PFO	19301452:null
Symptom273	headache	Chemical10516	oral contraceptives	19271947:null
Symptom273	headache	Chemical5913	estrogen	19271947:null
Symptom273	headache	Chemical10515	oral contraceptive	19271947:null
Symptom273	headache	Chemical4061	clevidipine	19331440:null
Symptom273	headache	Chemical5275	dipyridamole	18343263:null
Symptom273	headache	Chemical5428	DP	18343263:null
Symptom273	headache	Chemical2576	ASA	18343263:null
Symptom273	headache	Chemical4088	clopidogrel	18343263:null
Symptom273	headache	Chemical4088	clopidogrel	18343263:experienced
Symptom273	headache	Chemical2623	Aspirin	17192817:null
Symptom273	headache	Chemical2576	ASA	17192817:null
Symptom273	headache	Chemical2355	antidepressant	16832100:null
Symptom273	headache	Chemical10516	oral contraceptives	16413849:null
Symptom273	headache	Chemical10516	oral contraceptives	16413849:have
Symptom273	headache	Chemical4177	COCs	16413849:have
Symptom273	headache	Chemical4177	COCs	16413849:null
Symptom273	headache	Chemical4164	COC	16413849:null
Symptom273	headache	Chemical3336	cabergoline	30000386:null
Symptom273	headache	Chemical3210	bromocriptine	30000386:null
Symptom273	headache	Chemical5913	estrogen	16478288:null
Symptom273	headache	Chemical8945	methamphetamine	15577524:null
Symptom273	headache	Chemical5275	dipyridamole	15461876:null
Symptom273	headache	Chemical2623	aspirin	15461876:receiving
Symptom273	headache	Chemical9653	naphazoline	15476091:null
Symptom273	headache	Chemical5872	ergotamine	14606052:null
Symptom273	headache	Chemical2623	aspirin	14606052:null
Symptom273	headache	Chemical12823	smoking	14595481:null
Symptom273	headache	Chemical1925	alcohol	14595481:null
Symptom273	headache	Chemical5681	Ecstasy	12536290:null
Symptom273	headache	Chemical2227	amphetamine	12536290:using
Symptom273	headache	Chemical5681	Ecstasy	12536290:using
Symptom273	headache	Chemical4165	cocaine	12536290:using
Symptom273	headache	Chemical9773	nesiritide	12232567:null
Symptom273	headache	Chemical9949	nitroglycerin	12232567:reported
Symptom273	headache	Chemical4221	contraceptive	12052606:null
Symptom273	headache	Chemical10515	oral contraceptive	12052606:null
Symptom273	headache	Chemical10362	OC	12052606:null
Symptom273	headache	Chemical11795	progestogen	12052606:null
Symptom273	headache	Chemical4222	contraceptives	12052606:null
Symptom273	headache	Chemical8843	medroxyprogesterone-17 acetate	12052606:null
Symptom273	headache	Chemical10162	norethindrone	12052606:null
Symptom273	headache	Chemical8276	levonorgestrel	12052606:null
Symptom273	headache	Chemical12757	sildenafil	12025521:null
Symptom273	headache	Chemical4165	cocaine	11136345:null
Symptom273	headache	Chemical8547	lubeluzole	11062273:null
Symptom273	headache	Chemical5275	dipyridamole	10594478:null
Symptom273	headache	Chemical5275	dipyridamole	10594478:taking
Symptom273	headache	Chemical1609	acetylsalicylic acid	10594478:taking
Symptom273	headache	Chemical2576	ASA	10594478:taking
Symptom273	headache	Chemical2576	ASA	10594478:null
Symptom273	headache	Chemical5275	dipyridamole	10594478:coincided
Symptom273	headache	Chemical5275	dipyridamole	10594478:develop
Symptom273	headache	Chemical5275	dipyridamole	10493274:common
Symptom273	headache	Chemical2623	aspirin	10493274:compared
Symptom273	headache	Chemical5275	Dipyridamole	9781830:null
Symptom273	headache	Chemical11243	phosphate	9187476:null
Symptom273	headache	Chemical8924	metamizol	8699777:null
Symptom273	headache	Chemical9907	nitrate	8699777:null
Symptom273	headache	Chemical11676	PPA	7613235:vomiting
Symptom273	headache	Chemical1127	5-HT	8170966:null
Symptom273	headache	Chemical6318	flosequinan	7957523:null
Symptom273	headache	Chemical7812	isometheptene	8248996:manifested
Symptom273	headache	Chemical10515	Oral contraceptive	12286998:null
Symptom273	headache	Chemical10362	OC	12286998:null
Symptom273	headache	Chemical10362	OC	12286998:links
Symptom273	headache	Chemical10368	OCs	12286998:uses
Symptom273	headache	Chemical10368	OCs	12286998:use
Symptom273	headache	Chemical10362	OC	12286998:occur
Symptom273	headache	Chemical11787	progestin	12286998:null
Symptom273	headache	Chemical4222	contraceptives	12286998:null
Symptom273	headache	Chemical10368	OCs	12286998:starting
Symptom273	headache	Chemical10368	OCs	12286998:taking
Symptom273	headache	Chemical10362	OC	12286998:having
Symptom273	headache	Chemical10516	oral contraceptives	8512048:null
Symptom273	headache	Chemical10516	Oral contraceptives	8512048:worsen;
Symptom273	headache	Chemical10516	Oral contraceptives	8512048:null
Symptom273	headache	Chemical10368	OCs	8512048:null
Symptom273	headache	Chemical10362	OC	8512048:null
Symptom273	headache	Chemical10362	OC	8512048:discontinue
Symptom273	headache	Chemical11793	progestins	2046918:null
Symptom273	headache	Chemical10516	oral contraceptives	2046918:appear
Symptom273	headache	Chemical5913	estrogen	2046918:null
Symptom273	headache	Chemical11861	prostaglandin	2046918:produce
Symptom273	headache	Chemical5913	estrogen	2046918:reduce
Symptom273	headache	Chemical5908	estradiol	2046918:reduce
Symptom273	headache	Chemical5931	estrone	2046918:reduce
Symptom273	headache	Chemical5031	DHPs	1792815:null
Symptom273	headache	Chemical5871	ergot alkaloids	2158835:share
Symptom273	headache	Chemical9845	nicardipine	1369703:facial
Symptom273	headache	Chemical4165	cocaine	2910922:null
Symptom273	headache	Chemical9890	Nimodipine	3319491:null
Symptom273	headache	Chemical2227	amphetamine	2956531:null
Symptom273	headache	Chemical5813	ephedrine	2956531:null
Symptom273	headache	Chemical11676	PPA	2956531:null
Symptom273	headache	Chemical10516	oral contraceptives	5730119:taking
Symptom273	headache	Chemical8096	lactate	31123680:developed
Symptom273	headache	Chemical3691	CCM	25896717:null
Symptom273	headache	Chemical3691	CCM	28116327:null
Symptom273	headache	Chemical9919	Nitric oxide	11701602:null
Symptom273	headache	Chemical9949	nitroglycerin	11701602:trinitrate
Symptom273	headache	Chemical6929	glyceryl trinitrate	11701602:trinitrate
Symptom273	headache	Chemical7102	GTN	11701602:trinitrate
Symptom273	headache	Chemical9112	midazolam	25420561:null
Symptom273	headache	Chemical8154	L-arginine	25420561:null
Symptom273	headache	Chemical8154	L-arginine	25420561:unsuccessful
Symptom273	headache	Chemical8154	L-arginine	25420561:administered
Symptom273	headache	Chemical9112	midazolam	25420561:advisable
Symptom273	headache	Chemical8154	L-arginine	25420561:unsuccessful;
Symptom273	headache	Chemical3691	CCM	19370760:associated
Symptom273	headache	Chemical3699	CCM2	19370760:associated
Symptom273	headache	Chemical3706	CCM3	19370760:associated
Symptom273	headache	Chemical12701	serotonin	26356526:occurring
Symptom273	headache	Chemical3691	CCM	28645800:null
Symptom273	headache	Chemical7372	Homocysteine	11121176:null
Symptom273	headache	Chemical2144	amino acid	11121176:null
Symptom273	headache	Chemical10304	nucleotide	8965101:null
Symptom273	headache	Chemical3691	CCM	17211633:null
Symptom273	headache	Chemical8100	lactic acid	30739820:null
Symptom273	headache	Chemical8096	lactate	24338029:null
Symptom273	headache	Chemical8773	m-chlorophenyl-piperazine	1495812:likely
Symptom273	headache	Chemical8786	m-CPP	1495812:likely
Symptom273	headache	Chemical9949	nitroglycerin	1495812:likely
Symptom273	headache	Chemical8773	m-chlorophenyl-piperazine	1495812:null
Symptom273	headache	Chemical8786	m-CPP	1495812:null
Symptom273	headache	Chemical9949	nitroglycerin	1495812:null
Symptom273	headache	Chemical10040	NO	19751368:null
Symptom273	headache	Chemical10859	PDE3	19751368:null
Symptom273	headache	Chemical3691	CCM	18300272:null
Symptom273	headache	Chemical11812	proline	30906341:having
Symptom273	headache	Chemical12684	serine	30906341:having
Symptom273	headache	Chemical6670	Gastrodin	31128157:null
Symptom273	headache	Chemical3691	CCM	20096036:death;
Symptom273	headache	Chemical7765	iron	26944272:null
Symptom273	headache	Chemical9010	methylenetetrahydrofolate	21270470:null
Symptom273	headache	Chemical8154	L-arginine	30269300:null
Symptom273	headache	Chemical9919	nitric oxide	19359638:associated
Symptom273	headache	Chemical10060	NO(2)	19359638:null
Symptom273	headache	Chemical12806	SM	27111336:null
Symptom273	headache	Chemical12806	SM	27111336:frequent
Symptom273	headache	Chemical12757	sildenafil	10078541:null
Symptom273	headache	Chemical12757	Sildenafil	10078538:null
Symptom273	headache	Chemical10516	oral contraceptives	31064164:null
Symptom273	headache	Chemical5275	dipyridamole	24819911:null
Symptom273	headache	Chemical14510	VBA	18204390:popular
Symptom273	headache	Chemical14510	VBA	18204390:null
Symptom273	headache	Chemical14510	VBA	18204390:precedes
Symptom273	headache	Chemical14510	VBA	18204390:associated
Symptom273	headache	Chemical14510	VBA	18204390:due
Symptom273	headache	Chemical2576	ASA	18691981:common
Symptom273	headache	Chemical6863	glucose	29317012:null
Symptom273	headache	Chemical3661	CCH	24956545:null
Symptom273	headache	Chemical14510	VBA	21237403:precede
Symptom235	fever	Chemical5099	diclofenac sodium	31847889:null
Symptom235	fever	Chemical1577	acetaminophen	31847889:null
Symptom235	fever	Chemical5099	diclofenac sodium	31847889:effective
Symptom235	fever	Chemical10733	PAN	30952413:null
Symptom235	fever	Chemical10227	NSAIDs	29659118:null
Symptom235	fever	Chemical10938	penicillin	20301551:null
Symptom235	fever	Chemical6419	folic acid	20301551:null
Symptom235	fever	Chemical7765	iron	20301551:null
Symptom235	fever	Chemical12549	Salicylic acid	26101955:null
Symptom235	fever	Chemical1789	ADR	25842735:null
Symptom235	fever	Chemical10225	NSAID	22741218:null
Symptom235	fever	Chemical11910	prostaglandins	22741218:normalizes
Symptom235	fever	Chemical11224	Phenytoin	21361742:discontinued
Symptom235	fever	Chemical14495	vancomycin	21361742:discontinued
Symptom235	fever	Chemical11408	piperacillin-tazobactam	21361742:discontinued
Symptom235	fever	Chemical2948	benzodiazepines	17874343:null
Symptom235	fever	Chemical11916	prostanoids	17612044:null
Symptom235	fever	Chemical11910	prostaglandins	17612044:null
Symptom235	fever	Chemical11126	PGs	17612044:null
Symptom235	fever	Chemical11910	prostaglandins	17242474:null
Symptom235	fever	Chemical11877	prostaglandin E(2)	17242474:insensitive
Symptom235	fever	Chemical11091	PGE	17242474:insensitive
Symptom235	fever	Chemical11877	prostaglandin E(2)	17242474:null
Symptom235	fever	Chemical11091	PGE	17242474:null
Symptom235	fever	Chemical6775	Ginkgo biloba extract	16619358:null
Symptom235	fever	Chemical5705	EGb 761	16619358:null
Symptom235	fever	Chemical5279	Dipyrone	16619358:null
Symptom235	fever	Chemical5705	EGb 761	16619358:treated
Symptom235	fever	Chemical5279	dipyrone	16619358:null
Symptom235	fever	Chemical5705	EGb 761	16619358:has
Symptom235	fever	Chemical8131	lamotrigine	12422544:null
Symptom235	fever	Chemical10775	parthenolide	11921057:null
Symptom235	fever	Chemical13807	ticlopidine	17039105:null
Symptom235	fever	Chemical13807	ticlopidine	17039105:taken
Symptom235	fever	Chemical8547	lubeluzole	11062273:null
Symptom235	fever	Chemical9128	milrinone	3053125:null
Symptom235	fever	Chemical2248	amrinone	3053125:null
Symptom235	fever	Chemical1577	Acetaminophen	15263079:null
Symptom235	fever	Chemical1716	adenosine	30645994:null
