Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Chemical7118	Guanethidine	Disease25	stroke	1134:had
Chemical11702	PPL	Disease7169	cerebral infarction	4907:null
Chemical11702	PPL	Disease25	stroke	4907:null
Chemical12957	Sodium nitroprusside	Disease31152	systemic vascular	30340:resulted
Chemical12957	Sodium nitroprusside	Disease25	stroke	30340:resulted
Chemical7199	halothane	Disease22855	Metabolic acidosis	30340:null
Chemical13712	thiazides	Disease9524	coronary heart disease	32009:conferred
Chemical11847	propranolol	Disease25	stroke	34457:greater
Chemical11403	pindolol	Disease25	stroke	34457:greater
Chemical11847	propranolol	Disease27238	Peripheral vascular	34457:null
Chemical11403	pindolol	Disease27238	Peripheral vascular	34457:null
Chemical7819	Isoprenaline	Disease25	stroke	34457:induced
Chemical2100	amantadine	Disease10066	decreases cardiac contractility	51642:null
Chemical11847	propranolol	Disease5822	Cardiac arrhythmias	51642:null
Chemical8311	lidocaine	Disease5822	Cardiac arrhythmias	51642:null
Chemical6921	glycerol	Disease25	stroke	56650:null
Chemical6921	glycerol	Disease25	stroke	56650:compared
Chemical4988	dextrose	Disease25	stroke	56650:compared
Chemical11188	phentolamine	Disease25	stroke	96422:null
Chemical7450	hydralazine	Disease25	stroke	96422:null
Chemical11180	phenoxybenzamine	Disease15384	hemorrhagic shock	116393:null
Chemical6863	glucose	Disease2410	Arterial and cerebral	116393:null
Chemical8096	lactate	Disease2410	Arterial and cerebral	116393:null
Chemical7450	hydralazine	Disease8408	chronic heart failure	116791:null
Chemical9949	nitroglycerin	Disease8408	chronic heart failure	116791:null
Chemical7450	hydralazine	Disease25	stroke	116791:increased
Chemical5403	dopamine	Disease9524	coronary heart disease	117821:evaluated
Chemical9949	nitroglycerin	Disease9524	coronary heart disease	117821:evaluated
Chemical5403	dopamine	Disease28523	pulmonary hypertension	117821:seems
Chemical10614	oxygen	Disease25	stroke	120080:null
Chemical9963	Nitroprusside	Disease21492	leftf heart failure	120080:null
