Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Chemical12978	Histone Deacetylase	Pathway7851	Sodium Valproate	29247141:Associated
Chemical10203	NPC	Pathway12384	NPC	23492769:null
Chemical8356	NPC	Pathway12384	lipopolysaccharide	23492769:necessary
Chemical2864	NPC	Pathway12384	BAY-117082	23492769:null
Chemical10203	NPC	Pathway12384	NPC	23492769:attenuated
Chemical10203	Bcl-2 family protein Bax	Pathway2204	NPC	23492769:null
Chemical10203	Bax	Pathway2166	NPC	23492769:null
Chemical10203	Puma	Pathway14603	NPC	23492769:null
Chemical2864	Puma	Pathway14603	BAY-117082	23492769:null
Chemical10203	Puma	Pathway14603	NPC	23492769:required
Chemical13110	Apolipoprotein E	Pathway1675	statins	24008570:null
Chemical13110	statins	Pathway16726	statins	24008570:null
Chemical13101	statins	Pathway16726	statin	24008570:shown
Chemical2382	AP-1	Pathway1489	AP	30345544:null
Chemical8114	AP-1	Pathway1489	lacZ	30345544:null
Chemical2382	GFAP gene	Pathway6696	AP	30345544:null
Chemical8114	GFAP gene	Pathway6696	lacZ	30345544:less
Chemical2382	AP-1 transcription factors	Pathway1498	AP	30345544:null
Chemical2382	AP-1 binding site	Pathway1492	AP	30345544:null
Chemical8114	AP-1 binding site	Pathway1492	lacZ	30345544:null
Chemical2382	GFAP promoter	Pathway6700	AP	30345544:null
Chemical8114	GFAP promoter	Pathway6700	lacZ	30345544:null
Chemical2382	GFAP promoter	Pathway6700	AP	30345544:contain
Chemical2382	GFAP	Pathway6694	AP	30345544:null
Chemical2382	GFAP	Pathway6694	AP	30345544:critical
Chemical8114	GFAP	Pathway6694	lacZ	30345544:null
Chemical2382	GFAP	Pathway6694	AP	30345544:contain
Chemical8114	GFAP	Pathway6694	lacZ	30345544:less
Chemical8114	lacZ transgenes	Pathway9677	lacZ	30345544:null
Chemical2382	lacZ transgenes	Pathway9677	AP	30345544:contain
Chemical8114	human GFAP promoters	Pathway8319	lacZ	30345544:null
Chemical2382	human GFAP promoters	Pathway8319	AP	30345544:contain
Chemical2382	AP-1 site	Pathway1494	AP	30345544:null
Chemical8114	mouse GFAP gene	Pathway11186	lacZ	30345544:less
Chemical13003	AF	Pathway714	Sotalol	9809905:null
Chemical11826	AF	Pathway714	propafenone	9809905:null
Chemical5834	SHRSPs	Pathway16088	eplerenone	22237482:null
Chemical1933	SHRSPs	Pathway16088	aldosterone	22237482:null
Chemical9534	SHRSPs	Pathway16088	Na	22237482:null
Chemical2382	SHRSPs	Pathway16088	AP	22237482:null
Chemical5834	SHRSPs	Pathway16088	eplerenone	22237482:greater
Chemical2382	SHRSPs	Pathway16088	AP	22237482:greater
Chemical8692	SIRT1	Pathway16170	Magnolol	28527875:null
Chemical8692	SIRT1	Pathway16170	magnolol	28527875:investigated;
Chemical8692	SIRT1	Pathway16170	magnolol	28527875:null
Chemical6028	SIRT1	Pathway16170	EX527	28527875:null
Chemical1525	SIRT1	Pathway16170	Ac	28527875:null
Chemical2124	Sma I	Pathway16276	AMI	11755948:null
Chemical2124	Sma I	Pathway16276	AMI	11755948:associated
Chemical1831	vWF	Pathway18607	Ag	11755948:null
Chemical2124	vWF	Pathway18607	AMI	11755948:null
Chemical2124	vWF	Pathway18607	AMI	11755948:had
Chemical1831	Ag	Pathway718	Ag	11755948:null
Chemical2124	Ag	Pathway718	AMI	11755948:null
Chemical2124	Ag	Pathway718	AMI	11755948:had
Chemical2124	vWF plasma	Pathway18615	AMI	11755948:null
Chemical2623	COX-2	Pathway4073	aspirin	11769881:null
Chemical2623	COX-2	Pathway4073	Aspirin	11769881:available
Chemical2623	COX	Pathway4057	aspirin	11769881:null
Chemical2623	COX	Pathway4057	Aspirin	11769881:available
Chemical2307	angiotensin-converting enzyme	Pathway1282	angiotensin	8203335:null
Chemical2307	ACE	Pathway384	angiotensin	8203335:null
Chemical3478	ACE	Pathway384	captopril	8203335:comparable
Chemical5753	ACE	Pathway384	enalapril	8203335:comparable
Chemical13279	HGF	Pathway7694	synaptophysin	16505200:related
Chemical13279	Cdc42	Pathway3433	synaptophysin	16505200:null
Chemical13279	synaptophysin	Pathway16912	synaptophysin	16505200:null
Chemical6956	GLA gene	Pathway6761	glycosphingolipids	26564084:null
Chemical7765	ferritin	Pathway5972	iron	17603097:null
Chemical7765	ferritin	Pathway5972	iron	17603097:secreted
Chemical7765	Ferritin	Pathway5972	iron	17603097:null
Chemical7765	Ferritin	Pathway5972	iron	17603097:impaired
Chemical7765	holoferritin	Pathway7978	iron	17603097:secreted
Chemical7765	holoferritin	Pathway7978	iron	17603097:null
Chemical7765	holoferritin	Pathway7978	iron	17603097:mediating
Chemical7765	ferritin subunits	Pathway5978	iron	17603097:null
Chemical7765	ferritin subunits	Pathway5978	iron	17603097:mediating
Chemical2907	bFGF	Pathway2425	BDNF	16904693:null
Chemical2907	bFGF	Pathway2425	BDNF	16904693:higher
Chemical2907	BDNF	Pathway2252	BDNF	16904693:null
Chemical13762	TNF-alpha	Pathway17527	THP	18602978:null
Chemical13762	TNF-alpha	Pathway17527	THP	18602978:detected
Chemical8356	TNF-alpha	Pathway17527	lipopolysaccharide	18602978:null
Chemical13762	HO-1	Pathway7968	THP	18602978:null
Chemical13762	HO-1	Pathway7968	THP	18602978:detected
Chemical13762	THP-1	Pathway17318	THP	18602978:null
Chemical13762	THP-1	Pathway17318	THP	18602978:differentiated
Chemical8356	THP-1	Pathway17318	lipopolysaccharide	18602978:null
Chemical13833	THP-1	Pathway17318	tin protoporphyrin IX	18602978:null
Chemical10304	phosphodiesterase 4D	Pathway13463	nucleotide	22274584:null
Chemical10304	PDE4D	Pathway13200	nucleotide	22274584:null
Chemical12868	SNP rs12188950	Pathway16395	SNP	22274584:null
Chemical12903	SNP rs12188950	Pathway16395	SNP45	22274584:null
Chemical10499	HDACs	Pathway7498	OPCs	24657831:null
Chemical10499	HDACs	Pathway7498	OPCs	24657831:play
Chemical10499	histone	Pathway7843	OPCs	24657831:null
Chemical9803	HDAC1	Pathway7482	NG2+OPCs	24657831:null
Chemical10499	HDAC1	Pathway7482	OPCs	24657831:associated
Chemical3194	HDAC1	Pathway7482	BrdU	24657831:associated
Chemical3194	HDAC1	Pathway7482	BrdU	24657831:detected
Chemical9803	HDAC2	Pathway7484	NG2+OPCs	24657831:null
Chemical10499	HDAC2	Pathway7484	OPCs	24657831:associated
Chemical3194	HDAC2	Pathway7484	BrdU	24657831:associated
Chemical3194	HDAC2	Pathway7484	BrdU	24657831:detected
Chemical9803	cytoplasmic HDAC4	Pathway4593	NG2+OPCs	24657831:null
Chemical10499	cytoplasmic HDAC4	Pathway4593	OPCs	24657831:associated
Chemical3194	cytoplasmic HDAC4	Pathway4593	BrdU	24657831:associated
Chemical9803	BrdU	Pathway2617	NG2+OPCs	24657831:null
Chemical10499	BrdU	Pathway2617	OPCs	24657831:null
Chemical3194	BrdU	Pathway2617	BrdU	24657831:null
Chemical9803	Ki67	Pathway9526	NG2+OPCs	24657831:null
Chemical10499	Ki67	Pathway9526	OPCs	24657831:null
Chemical3194	Ki67	Pathway9526	BrdU	24657831:null
Chemical10499	histones H3	Pathway7876	OPCs	24657831:null
Chemical10499	H4	Pathway7355	OPCs	24657831:null
Chemical10499	Class I	Pathway3740	OPCs	24657831:null
Chemical10499	Class I	Pathway3740	OPCs	24657831:play
Chemical10499	Class II HDACs	Pathway3749	OPCs	24657831:null
