Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
GENE1255 	ASD	Disease3520	atrial septal defects	29374291:null
FamilyName609	ASD	Disease3520	atrial septal defects	29374291:null
GENE1255 	ASD	Disease2752	ASD	29374291:null
FamilyName609	ASD	Disease2752	ASD	29374291:null
GENE1255 	ASD	Disease20133	ischemic attack	29374291:had
FamilyName609	ASD	Disease20133	ischemic attack	29374291:had
GENE1255 	ASD	Disease25	stroke	29374291:had
FamilyName609	ASD	Disease25	stroke	29374291:had
FamilyName468	ANP as	Disease525	acute cerebral infarction	30910581:null
FamilyName468	ANP as	Disease745	acute intracerebral hemorrhage	30910581:null
FamilyName468	ANP as	Disease25	stroke	30910581:null
GENE903 	ANP	Disease24736	neurologic deficit	30910581:reduced
FamilyName467	ANP	Disease24736	neurologic deficit	30910581:reduced
GENE903 	ANP	Disease14230	Glasgow Coma	30910581:improved
FamilyName467	ANP	Disease14230	Glasgow Coma	30910581:improved
GENE903 	ANP	Disease24736	neurologic deficit	30910581:appears
FamilyName467	ANP	Disease24736	neurologic deficit	30910581:appears
GENE551 	ALP	Disease1497	ALP	31231259:null
FamilyName320	ALP	Disease1497	ALP	31231259:null
GENE551 	ALP	Disease25	stroke	31231259:combined
FamilyName320	ALP	Disease25	stroke	31231259:combined
GENE551 	ALP	Disease25	stroke	31231259:null
FamilyName320	ALP	Disease25	stroke	31231259:null
GENE551 	ALP	Disease1497	ALP	31231259:had
FamilyName320	ALP	Disease1497	ALP	31231259:had
GENE553 	ALP or BC	Disease1497	ALP	31231259:null
GENE10675 	PSG	Disease1497	ALP	31231259:decreased
FamilyName5589	PSG	Disease1497	ALP	31231259:decreased
GENE10675 	PSG	Disease13056	eye movement	31231259:decreased
FamilyName5589	PSG	Disease13056	eye movement	31231259:decreased
GENE551 	ALP	Disease13056	eye movement	31231259:decreased
FamilyName320	ALP	Disease13056	eye movement	31231259:decreased
GENE551 	ALP	Disease1497	ALP	31231259:achieved
FamilyName320	ALP	Disease1497	ALP	31231259:achieved
GENE552 	ALP and BC	Disease1497	ALP	31231259:null
GENE552 	ALP and BC	Disease1497	ALP	31231259:greater
GENE553 	ALP or BC	Disease1497	ALP	31231259:greater
GENE552 	ALP and BC	Disease1497	ALP	31231259:supporting
GENE8321 	MRI	Disease477	acute brain infarction	29982215:performed
FamilyName4144	MRI	Disease477	acute brain infarction	29982215:performed
GENE8321 	MRI	Disease25	stroke	29982215:results
FamilyName4144	MRI	Disease25	stroke	29982215:results
FamilyName7039	Vitamin K Epoxide Reductase	Disease25915	Non-Valvular Atrial Fibrillation	26919833:null
FamilyName7040	Vitamin K Epoxide Reductase	Disease25915	Non-Valvular Atrial Fibrillation	26919833:null
GENE9250 	NXT	Disease25914	nonvalvular atrial fibrillation	26919833:(over
GENE9250 	NXT	Disease31604	thromboembolism	26919833:(over
GENE13291 	vitamin K epoxide reductase	Disease25914	nonvalvular atrial fibrillation	26919833:null
FamilyName7039	vitamin K epoxide reductase	Disease25914	nonvalvular atrial fibrillation	26919833:null
FamilyName7040	vitamin K epoxide reductase	Disease25914	nonvalvular atrial fibrillation	26919833:null
GENE13291 	vitamin K epoxide reductase	Disease31604	thromboembolism	26919833:are
FamilyName7039	vitamin K epoxide reductase	Disease31604	thromboembolism	26919833:are
FamilyName7040	vitamin K epoxide reductase	Disease31604	thromboembolism	26919833:are
GENE13298 	VKORC1	Disease25914	nonvalvular atrial fibrillation	26919833:null
GENE13298 	VKORC1	Disease31604	thromboembolism	26919833:are
GENE9250 	NXT	Disease20467	ischemic stroke	26919833:displayed
GENE9250 	NXT	Disease25	stroke	26919833:displayed
GENE9250 	NXT	Disease20467	ischemic stroke	26919833:provide
GENE9250 	NXT	Disease25	stroke	26919833:provide
GENE374 	ADL	Disease22553	MD	28912713:null
FamilyName217	ADL	Disease22553	MD	28912713:null
GENE374 	ADL	Disease22553	MD	28912713:reduce
FamilyName217	ADL	Disease22553	MD	28912713:reduce
GENE4867 	GCS	Disease14230	Glasgow Coma	28912713:null
GENE3135 	CSS	Disease24813	Neurological deficit	28912713:null
GENE3135 	CSS	Disease25	Stroke	28912713:null
GENE3135 	CSS	Disease22553	MD	28912713:null
GENE8206 	MMP-2	Disease22553	MD	28912713:null
FamilyName4108	MMP-2	Disease22553	MD	28912713:null
GENE8237 	MMP-9	Disease22553	MD	28912713:null
GENE7379 	Mai	Disease20467	ischemic stroke	27868379:developed
FamilyName3851	Mai	Disease20467	ischemic stroke	27868379:developed
GENE7379 	Mai	Disease25	stroke	27868379:developed
FamilyName3851	Mai	Disease25	stroke	27868379:developed
FamilyName6230	SRs	Disease20467	ischemic stroke	27015174:provide
FamilyName6230	SRs	Disease25	stroke	27015174:provide
FamilyName6230	SRs	Disease20467	ischemic stroke	27015174:null
FamilyName6230	SRs	Disease25	stroke	27015174:null
GENE9752 	PBS	Disease19474	ipsilateral cerebral infarction	26359258:null
FamilyName4960	PBS	Disease19474	ipsilateral cerebral infarction	26359258:null
GENE4400 	FDG	Disease19474	ipsilateral cerebral infarction	26359258:null
FamilyName2202	FDG	Disease19474	ipsilateral cerebral infarction	26359258:null
GENE4400 	FDG	Disease7304	cerebral ischemia-reperfusion injury	26359258:demonstrated
FamilyName2202	FDG	Disease7304	cerebral ischemia-reperfusion injury	26359258:demonstrated
GENE4400 	FDG	Disease7249	cerebral ischemia	26359258:demonstrated
FamilyName2202	FDG	Disease7249	cerebral ischemia	26359258:demonstrated
GENE2779 	CMAP	Disease7304	cerebral ischemia-reperfusion injury	26305988:study
GENE2779 	CMAP	Disease7249	cerebral ischemia	26305988:study
GENE2779 	CMAP	Disease25	stroke	26305988:found
GENE2999 	CPM	Disease8181	CHM	25087603:null
GENE2619 	CHM	Disease8181	CHM	25087603:null
FamilyName1260	CHM	Disease8181	CHM	25087603:null
FamilyName7104	WM_CHM	Disease8181	CHM	25087603:null
FamilyName7105	WM_CPM_CHM	Disease9676	CPS of the WM_CPM_CHM	25087603:longer
GENE2999 	CPM	Disease9676	CPS of the WM_CPM_CHM	25087603:longer
FamilyName7104	WM_CHM	Disease9676	CPS of the WM_CPM_CHM	25087603:longer
FamilyName7105	WM_CPM_CHM	Disease9676	CPS of the WM_CPM_CHM	25087603:null
GENE2999 	CPM	Disease9676	CPS of the WM_CPM_CHM	25087603:null
FamilyName7104	WM_CHM	Disease9676	CPS of the WM_CPM_CHM	25087603:null
GENE2999 	CPM	Disease9675	CPS	25087603:provides
GENE2619 	CHM	Disease9675	CPS	25087603:provides
FamilyName1260	CHM	Disease9675	CPS	25087603:provides
GENE6072 	ICH	Disease25	stroke	24707306:null
FamilyName3166	ICH	Disease25	stroke	24707306:null
GENE6072 	ICH	Disease20467	ischemic stroke	24707306:null
FamilyName3166	ICH	Disease20467	ischemic stroke	24707306:null
GENE6072 	ICH	Disease19015	intracerebral hemorrhage	24707306:null
FamilyName3166	ICH	Disease19015	intracerebral hemorrhage	24707306:null
GENE6072 	ICH	Disease30628	subarachnoid hemorrhage	24707306:null
FamilyName3166	ICH	Disease30628	subarachnoid hemorrhage	24707306:null
GENE11242 	SAH	Disease25	stroke	24707306:null
FamilyName5893	SAH	Disease25	stroke	24707306:null
GENE11242 	SAH	Disease20467	ischemic stroke	24707306:null
FamilyName5893	SAH	Disease20467	ischemic stroke	24707306:null
GENE11242 	SAH	Disease19015	intracerebral hemorrhage	24707306:null
FamilyName5893	SAH	Disease19015	intracerebral hemorrhage	24707306:null
GENE11242 	SAH	Disease30628	subarachnoid hemorrhage	24707306:null
FamilyName5893	SAH	Disease30628	subarachnoid hemorrhage	24707306:null
GENE9586 	p53	Disease20409	ischemic neuronal injury	31669102:null
FamilyName4907	p53	Disease20409	ischemic neuronal injury	31669102:null
GENE3960 	ELA	Disease20247	ischemic cerebral stroke	31669102:null
