Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Pathway8197	Huangqin	Disease28401	PSD	15185839:showed
Pathway16369	Snail	Disease13314	FAP	25215881:null
Pathway15857	serotonin	Disease25940	norepinephrine	27150152:null
Pathway15857	serotonin	Disease25940	norepinephrine	27537580:null
Pathway3623	choline	Disease22562	MEA	28638888:evaluated
Pathway14658	quercetin	Disease22562	MEA	28638888:null
Pathway14658	quercetin	Disease22562	MEA	28638888:similar
Pathway3623	choline	Disease25940	norepinephrine	28959464:null
Pathway15857	serotonin	Disease25940	norepinephrine	29441984:null
Pathway15857	serotonin	Disease25940	norepinephrine	29747670:null
Pathway15857	serotonin	Disease25940	norepinephrine	30047070:null
Pathway15857	serotonin	Disease25940	norepinephrine	30201459:null
Pathway3623	choline	Disease25940	norepinephrine	30762770:null
Pathway15857	serotonin	Disease25940	norepinephrine	30890970:null
Pathway15857	serotonin	Disease25940	norepinephrine	31107181:null
Pathway10505	Melatonin	Disease25940	norepinephrine	31354619:blunted
Pathway15857	serotonin	Disease25940	norepinephrine	31644235:null
Pathway15857	serotonin	Disease25940	norepinephrine	31644235:(lorcaserin)
Pathway15857	serotonin	Disease25940	norepinephrine	31871494:null
Pathway7851	Histone Deacetylase	Disease20467	Ischemic Stroke	29247141:Associated
Pathway7851	Histone Deacetylase	Disease32170	Transient Ischemic Attack	29247141:Associated
Pathway7851	Histone Deacetylase	Disease25	Stroke	29247141:Associated
Pathway17323	thrombin	Disease2246	APC	15853699:null
Pathway503	Activated protein C	Disease2246	APC	15853699:released
Pathway1516	APC	Disease2246	APC	15853699:null
Pathway1516	APC	Disease33531	venous thromboembolism	15853699:null
Pathway1516	APC	Disease28340	protein S deficiencies	15853699:null
Pathway14409	protein S	Disease2246	APC	15853699:null
Pathway14409	protein S	Disease33531	venous thromboembolism	15853699:null
Pathway14409	protein S	Disease28340	protein S deficiencies	15853699:null
Pathway14409	protein S	Disease2246	APC	15853699:reduced
Pathway3869	coagulation factors Va	Disease2246	APC	15853699:null
Pathway18460	VIIIa	Disease2246	APC	15853699:null
Pathway14357	protein C	Disease2246	APC	15853699:null
Pathway14357	protein C	Disease33531	venous thromboembolism	15853699:null
Pathway14357	protein C	Disease28340	protein S deficiencies	15853699:associated
Pathway14357	protein C	Disease2246	APC	15853699:reduced
Pathway14357	protein C	Disease28340	protein S deficiencies	15853699:null
Pathway12384	NPC	Disease26002	NPC death	23492769:null
Pathway12384	NPC	Disease26000	NPC	23492769:null
Pathway12384	NPC	Disease32362	tumor	23492769:necessary
Pathway12384	NPC	Disease28533	Puma-deficient NPCs	23492769:attenuated
Pathway12384	NPC	Disease26002	NPC death	23492769:attenuated
Pathway2204	Bcl-2 family protein Bax	Disease26000	NPC	23492769:null
Pathway2166	Bax	Disease26000	NPC	23492769:null
Pathway14603	Puma	Disease26000	NPC	23492769:null
Pathway14603	Puma	Disease28533	Puma-deficient NPCs	23492769:null
Pathway14603	Puma	Disease26002	NPC death	23492769:required
Pathway14603	Puma	Disease26000	NPC	23492769:required
Pathway14603	Puma	Disease28533	Puma-deficient NPCs	23492769:required
Pathway1675	Apolipoprotein E	Disease19015	intracerebral hemorrhage	24008570:null
Pathway1675	Apolipoprotein E	Disease21932	lobar intracerebral hemorrhage	24008570:associated
Pathway16726	statins	Disease19015	intracerebral hemorrhage	24008570:null
Pathway6696	GFAP gene	Disease8842	CNS injury	30345544:null
Pathway6696	GFAP gene	Disease14323	gliosis	30345544:resulting
Pathway6694	GFAP	Disease8842	CNS injury	30345544:null
Pathway6694	GFAP	Disease14323	gliosis	30345544:resulting
Pathway5647	erythropoietin	Disease25	stroke	12829864:null
Pathway714	AF	Disease3424	Atrial Fibrillation	9809905:null
Pathway714	AF	Disease3424	atrial fibrillation	9809905:null
Pathway714	AF	Disease16583	hypertension	9809905:able
Pathway714	AF	Disease31560	thromboembolic	9809905:appears
Pathway714	AF	Disease25	stroke	9809905:null
Pathway2999	CARAF	Disease3424	Atrial Fibrillation	9809905:null
Pathway2999	CARAF	Disease3424	atrial fibrillation	9809905:null
Pathway2999	CARAF	Disease16583	hypertension	9809905:able
Pathway2999	CARAF	Disease31560	thromboembolic	9809905:appears
Pathway10759	mineralocorticoid receptors	Disease16788	hypertensive	22237482:involved
Pathway10759	mineralocorticoid receptors	Disease25	stroke	22237482:involved
Pathway10758	Mineralocorticoid receptor	Disease16583	hypertension	22237482:recognized
Pathway10758	Mineralocorticoid receptor	Disease15004	heart failure	22237482:recognized
Pathway11218	MR	Disease16583	hypertension	22237482:recognized
Pathway11218	MR	Disease15004	heart failure	22237482:recognized
Pathway11218	MR	Disease16583	hypertension	22237482:contributes
Pathway11218	MR	Disease25	stroke	22237482:contributes
Pathway11218	MR	Disease16788	hypertensive	22237482:contributes
Pathway11218	MR	Disease16583	hypertension	22237482:enhances
Pathway16088	SHRSPs	Disease16583	hypertension	22237482:null
Pathway16088	SHRSPs	Disease25	stroke	22237482:null
